SystemTime, ADC 1 (Vibration), ADC 2 (Battery), 
1658975151.954635, 766, 20, 
1658975151.9578073, 707, 20, 
1658975151.9601393, 652, 20, 
1658975151.9623487, 603, 20, 
1658975151.9645376, 557, 20, 
1658975151.966873, 515, 20, 
1658975151.9690065, 474, 20, 
1658975151.9712133, 440, 20, 
1658975151.9734519, 406, 20, 
1658975151.975767, 376, 20, 
1658975151.9893026, 351, 20, 
1658975151.9915986, 325, 20, 
1658975151.9937205, 300, 20, 
1658975151.9959185, 277, 20, 
1658975151.9980874, 256, 20, 
1658975152.000234, 238, 20, 
1658975152.0024455, 219, 20, 
1658975152.0045784, 203, 20, 
1658975152.006862, 188, 20, 
1658975152.0090592, 173, 20, 
1658975152.0172565, 165, 20, 
1658975152.0212517, 150, 20, 
1658975152.0276499, 140, 20, 
1658975152.0315187, 130, 20, 
1658975152.0337644, 120, 20, 
1658975152.035969, 110, 20, 
1658975152.0381525, 102, 20, 
1658975152.0402799, 95, 20, 
1658975152.0423887, 88, 20, 
1658975152.0454612, 82, 20, 
1658975152.0548859, 77, 20, 
1658975152.057635, 71, 20, 
1658975152.0597835, 66, 20, 
1658975152.0619247, 61, 20, 
1658975152.064052, 57, 20, 
1658975152.066201, 53, 20, 
1658975152.0683415, 49, 20, 
1658975152.0704691, 45, 20, 
1658975152.0725775, 41, 20, 
1658975152.0747306, 38, 20, 
1658975152.083056, 37, 20, 
1658975152.085309, 34, 20, 
1658975152.087464, 32, 20, 
1658975152.0896246, 29, 20, 
1658975152.091747, 27, 20, 
1658975152.0938702, 25, 20, 
1658975152.0960014, 22, 20, 
1658975152.0981276, 22, 20, 
1658975152.1002343, 20, 20, 
1658975152.1023746, 18, 20, 
1658975152.112788, 18, 20, 
1658975152.115069, 17, 20, 
1658975152.1173115, 16, 20, 
1658975152.1194315, 15, 20, 
1658975152.1216173, 14, 20, 
1658975152.1237462, 10, 21, 
1658975152.1259391, 11, 20, 
1658975152.129318, 11, 20, 
1658975152.131551, 10, 20, 
1658975152.133708, 10, 20, 
1658975152.139609, 9, 20, 
1658975152.1419234, 7, 20, 
1658975152.1442134, 8, 20, 
1658975152.1466558, 8, 20, 
1658975152.1489568, 6, 20, 
1658975152.151801, 5, 21, 
1658975152.154817, 6, 20, 
1658975152.162671, 6, 20, 
1658975152.1659558, 5, 20, 
1658975152.168823, 5, 20, 
1658975152.1759248, 6, 20, 
1658975152.1782928, 4, 20, 
1658975152.180491, 5, 20, 
1658975152.1826813, 5, 20, 
1658975152.1849124, 5, 20, 
1658975152.1872723, 4, 20, 
1658975152.1897147, 3, 20, 
1658975152.192663, 3, 20, 
1658975152.1949918, 4, 20, 
1658975152.1972394, 6, 20, 
1658975152.2026923, 3, 20, 
1658975152.2050793, 3, 20, 
1658975152.2072296, 2, 20, 
1658975152.2093644, 2, 20, 
1658975152.2114763, 1, 20, 
1658975152.2136438, 1, 20, 
1658975152.2163563, 2, 20, 
1658975152.2185001, 1, 20, 
1658975152.22062, 2, 20, 
1658975152.222748, 1, 20, 
1658975152.2307167, 1, 20, 
1658975152.232973, 1, 20, 
1658975152.2351558, 2, 20, 
1658975152.237288, 1, 20, 
1658975152.2396748, 1, 20, 
1658975152.2418158, 0, 20, 
1658975152.2439413, 1, 20, 
1658975152.2461052, 1, 20, 
1658975152.2482288, 1, 20, 
1658975152.2503567, 1, 20, 
1658975152.2593374, 0, 20, 
1658975152.2617726, 1, 20, 
1658975152.2643108, 1, 20, 
1658975152.2665308, 1, 20, 
1658975152.2687073, 0, 20, 
1658975152.2710195, 0, 20, 
1658975152.2732882, 0, 20, 
1658975152.2755015, 0, 20, 
1658975152.2776453, 0, 20, 
1658975152.2799437, 0, 20, 
1658975152.287103, 1, 20, 
1658975152.2894375, 0, 20, 
1658975152.2918208, 0, 20, 
1658975152.294136, 0, 20, 
1658975152.2963424, 0, 20, 
1658975152.298564, 0, 20, 
1658975152.3006957, 0, 20, 
1658975152.3030174, 0, 20, 
1658975152.305212, 0, 20, 
1658975152.3073184, 0, 20, 
1658975152.31558, 0, 20, 
1658975152.317777, 1, 20, 
1658975152.3198972, 0, 20, 
1658975152.3219929, 0, 20, 
1658975152.3241298, 0, 20, 
1658975152.3265488, 0, 20, 
1658975152.328835, 1, 20, 
1658975152.3311274, 1, 20, 
1658975152.336958, 0, 20, 
1658975152.3400161, 0, 20, 
1658975152.3469596, 0, 20, 
1658975152.3491805, 0, 20, 
1658975152.3513129, 0, 20, 
1658975152.35344, 0, 20, 
1658975152.3556154, 1, 20, 
1658975152.3577406, 0, 20, 
1658975152.3598747, 0, 20, 
1658975152.362269, 0, 20, 
1658975152.364627, 0, 20, 
1658975152.3667881, 0, 20, 
1658975152.3753846, 0, 20, 
1658975152.3776097, 0, 20, 
