SystemTime, ADC 1 (Vibration), ADC 2 (Battery), 
1658533377.2957668, 1, 317, 
1658533377.3030088, 2, 317, 
1658533377.3054283, 2, 317, 
1658533377.3077579, 1, 317, 
1658533377.3100724, 1, 318, 
1658533377.3123975, 0, 318, 
1658533377.3147233, 2, 316, 
1658533377.3170946, 1, 317, 
1658533377.3196301, 1, 318, 
1658533377.322106, 1, 318, 
1658533377.3245997, 2, 318, 
1658533377.3326652, 1, 317, 
1658533377.3357437, 1, 318, 
1658533377.3382666, 1, 317, 
1658533377.3407555, 1, 317, 
1658533377.3432417, 1, 318, 
1658533377.3461297, 0, 318, 
1658533377.3486693, 0, 317, 
1658533377.3511405, 1, 317, 
1658533377.3537383, 1, 316, 
1658533377.356365, 1, 318, 
1658533377.3643692, 1, 317, 
1658533377.367094, 0, 317, 
1658533377.3701458, 1, 317, 
1658533377.3726532, 2, 317, 
1658533377.375149, 2, 317, 
1658533377.377645, 1, 318, 
1658533377.3801117, 1, 318, 
1658533377.3825905, 1, 318, 
1658533377.3850687, 1, 318, 
1658533377.38761, 1, 318, 
1658533377.3952274, 2, 317, 
1658533377.3980262, 2, 318, 
1658533377.4054315, 2, 318, 
1658533377.4082158, 2, 317, 
1658533377.4107375, 0, 318, 
1658533377.4132318, 1, 317, 
1658533377.415829, 1, 318, 
1658533377.4182887, 2, 317, 
1658533377.4206467, 2, 317, 
1658533377.4229765, 1, 318, 
1658533377.4323711, 2, 317, 
1658533377.4347765, 1, 317, 
1658533377.4370873, 2, 317, 
1658533377.439458, 1, 317, 
1658533377.4417815, 1, 317, 
1658533377.4441044, 1, 317, 
1658533377.4464254, 1, 317, 
1658533377.448767, 1, 317, 
1658533377.451083, 1, 317, 
1658533377.4534051, 1, 317, 
1658533377.4610398, 1, 317, 
1658533377.4635077, 1, 317, 
1658533377.465834, 1, 317, 
1658533377.4681566, 1, 317, 
1658533377.470493, 0, 317, 
1658533377.472813, 0, 317, 
1658533377.4751253, 0, 317, 
1658533377.4774864, 0, 317, 
1658533377.4800997, 2, 318, 
1658533377.482434, 2, 318, 
1658533377.4897575, 1, 317, 
1658533377.4922192, 2, 318, 
1658533377.494552, 1, 317, 
1658533377.496909, 1, 318, 
1658533377.499296, 0, 316, 
1658533377.5016365, 0, 317, 
1658533377.5043528, 1, 318, 
1658533377.5066965, 1, 317, 
1658533377.5090535, 0, 317, 
1658533377.5114365, 2, 318, 
1658533377.518577, 1, 317, 
1658533377.5210192, 0, 318, 
1658533377.5233417, 0, 317, 
1658533377.5256782, 0, 317, 
1658533377.528227, 1, 318, 
1658533377.5307126, 1, 317, 
1658533377.536321, 1, 317, 
1658533377.5394635, 3, 317, 
1658533377.542092, 1, 318, 
1658533377.5444257, 1, 317, 
1658533377.5514, 2, 317, 
1658533377.5538368, 0, 317, 
1658533377.5561547, 0, 317, 
1658533377.5584736, 0, 318, 
1658533377.5608027, 0, 317, 
1658533377.5635376, 0, 316, 
1658533377.5661085, 1, 318, 
1658533377.5684266, 1, 318, 
1658533377.57074, 0, 318, 
1658533377.573052, 0, 317, 
1658533377.58035, 1, 317, 
1658533377.582784, 1, 317, 
1658533377.585121, 1, 316, 
1658533377.5879307, 1, 317, 
1658533377.5903282, 2, 318, 
1658533377.5926652, 1, 317, 
1658533377.5949726, 0, 317, 
1658533377.5972989, 0, 317, 
1658533377.5996494, 0, 317, 
1658533377.6020143, 1, 317, 
1658533377.6121795, 1, 317, 
1658533377.6146896, 0, 317, 
1658533377.6170702, 1, 317, 
1658533377.6194823, 1, 317, 
1658533377.6218216, 1, 317, 
1658533377.6241558, 1, 317, 
1658533377.626491, 0, 317, 
1658533377.628888, 0, 316, 
1658533377.6312273, 1, 318, 
1658533377.6335506, 0, 315, 
1658533377.6423562, 2, 314, 
1658533377.6452248, 1, 315, 
1658533377.6476429, 6, 315, 
1658533377.6499927, 0, 317, 
1658533377.6523473, 0, 313, 
1658533377.6547794, 1, 314, 
1658533377.6571684, 0, 317, 
1658533377.6596208, 0, 317, 
1658533377.6619878, 0, 316, 
1658533377.6644032, 0, 316, 
1658533377.6719787, 1, 317, 
1658533377.6745117, 1, 313, 
1658533377.676982, 0, 316, 
1658533377.679765, 0, 316, 
1658533377.682133, 0, 317, 
1658533377.6844761, 1, 317, 
1658533377.6868055, 1, 317, 
1658533377.6891873, 1, 317, 
1658533377.6915243, 1, 317, 
1658533377.6938798, 0, 317, 
1658533377.7012928, 1, 316, 
1658533377.7041702, 1, 315, 
1658533377.706566, 0, 316, 
1658533377.7115324, 1, 317, 
1658533377.7147245, 1, 317, 
1658533377.7172658, 2, 317, 
1658533377.719716, 1, 317, 
1658533377.723222, 0, 316, 
1658533377.7255805, 1, 317, 
1658533377.7279074, 1, 317, 
1658533377.734874, 1, 317, 
1658533377.7372787, 1, 316, 
1658533377.7401648, 1, 313, 
1658533377.7427251, 1, 316, 
1658533377.745049, 0, 317, 
1658533377.747361, 1, 316, 
1658533377.7497349, 1, 316, 
1658533377.7520566, 1, 316, 
1658533377.7543623, 1, 317, 
1658533377.7566798, 1, 317, 
1658533377.7658238, 1, 317, 
1658533377.768239, 1, 317, 
1658533377.7705793, 1, 317, 
1658533377.772875, 0, 316, 
1658533377.7752283, 1, 318, 
1658533377.7775738, 1, 317, 
1658533377.7799013, 0, 318, 
1658533377.7822118, 1, 314, 
1658533377.7845216, 0, 317, 
1658533377.7868335, 1, 317, 
1658533377.7947018, 0, 317, 
1658533377.7971427, 0, 316, 
1658533377.7994912, 1, 316, 
1658533377.8018115, 1, 313, 
1658533377.8041346, 1, 316, 
1658533377.806456, 0, 317, 
1658533377.8088121, 1, 316, 
1658533377.8113468, 1, 317, 
1658533377.8140898, 1, 317, 
1658533377.816424, 2, 317, 
1658533377.823835, 1, 316, 
1658533377.8262987, 0, 311, 
1658533377.8287022, 0, 316, 
1658533377.8330297, 1, 316, 
1658533377.835821, 1, 317, 
1658533377.8382504, 1, 314, 
1658533377.840619, 0, 316, 
1658533377.8457642, 1, 313, 
1658533377.848948, 1, 317, 
1658533377.8515947, 1, 317, 
1658533377.8587, 1, 317, 
1658533377.8611414, 1, 317, 
1658533377.8634803, 1, 317, 
1658533377.8658032, 1, 317, 
1658533377.8681166, 0, 316, 
1658533377.8704417, 2, 316, 
1658533377.873271, 1, 317, 
1658533377.8758948, 1, 317, 
1658533377.8782296, 0, 317, 
1658533377.880557, 0, 316, 
1658533377.8909626, 1, 317, 
1658533377.8933518, 1, 316, 
1658533377.895804, 0, 316, 
1658533377.8984087, 2, 317, 
1658533377.900783, 1, 317, 
1658533377.9030943, 1, 317, 
1658533377.9054344, 1, 317, 
1658533377.9077568, 0, 317, 
1658533377.9100974, 2, 317, 
1658533377.912408, 1, 314, 
1658533377.9200346, 1, 317, 
1658533377.922977, 1, 317, 
1658533377.9252958, 1, 317, 
1658533377.9275885, 1, 317, 
1658533377.929884, 1, 316, 
1658533377.9322996, 0, 313, 
1658533377.9353657, 0, 315, 
1658533377.9392624, 1, 317, 
1658533377.941581, 0, 317, 
1658533377.9439054, 1, 317, 
1658533377.951107, 1, 316, 
1658533377.953591, 0, 317, 
