SystemTime, ADC 1 (Vibration), ADC 2 (Battery), 
1657920542.0281096, 301, 1, 
1657920542.031074, 278, 1, 
1657920542.0333552, 256, 1, 
1657920542.0355105, 236, 1, 
1657920542.0377188, 219, 1, 
1657920542.0401833, 202, 1, 
1657920542.0424888, 187, 1, 
1657920542.044764, 173, 1, 
1657920542.0471091, 159, 1, 
1657920542.049292, 146, 1, 
1657920542.0583382, 138, 1, 
1657920542.060635, 127, 1, 
1657920542.0630128, 117, 1, 
1657920542.065185, 108, 1, 
1657920542.0673234, 101, 1, 
1657920542.0694306, 93, 1, 
1657920542.0715432, 86, 1, 
1657920542.0736496, 79, 1, 
1657920542.0757968, 73, 1, 
1657920542.0778978, 68, 1, 
1657920542.0867908, 64, 1, 
1657920542.0890987, 59, 1, 
1657920542.0912447, 55, 1, 
1657920542.0972931, 49, 1, 
1657920542.1004894, 46, 1, 
1657920542.1028478, 43, 1, 
1657920542.1049664, 40, 1, 
1657920542.1070774, 37, 1, 
1657920542.1092103, 32, 1, 
1657920542.1113515, 32, 1, 
1657920542.117918, 30, 1, 
1657920542.12011, 26, 1, 
1657920542.12238, 25, 1, 
1657920542.124761, 24, 1, 
1657920542.1269908, 22, 1, 
1657920542.1291177, 20, 1, 
1657920542.1312578, 20, 1, 
1657920542.1334, 17, 1, 
1657920542.1355267, 16, 1, 
1657920542.1376538, 15, 1, 
1657920542.144459, 14, 1, 
1657920542.1467774, 12, 1, 
1657920542.1491652, 12, 1, 
1657920542.1512876, 10, 1, 
1657920542.153433, 10, 1, 
1657920542.155566, 9, 1, 
1657920542.1577306, 8, 1, 
1657920542.1598377, 8, 1, 
1657920542.1619382, 7, 1, 
1657920542.1640434, 7, 1, 
1657920542.1710002, 6, 1, 
1657920542.173773, 6, 1, 
1657920542.1762786, 5, 1, 
1657920542.178874, 5, 1, 
1657920542.181405, 5, 1, 
1657920542.1839876, 4, 1, 
1657920542.1864922, 4, 1, 
1657920542.1891127, 3, 1, 
1657920542.19161, 4, 1, 
1657920542.1944091, 3, 1, 
1657920542.2024271, 3, 1, 
1657920542.2050357, 2, 1, 
1657920542.207517, 2, 1, 
1657920542.2100933, 3, 1, 
1657920542.212605, 2, 1, 
1657920542.2151341, 2, 1, 
1657920542.2176478, 1, 1, 
1657920542.2206717, 1, 1, 
