SystemTime, TimeStamp, Latitude, Longitude, FixQuality, Satellites, Altitude, Knots, TrackAngle, HDilution, HGeoID, 
1657933380.428387, 1:3:0, 40.246235, -111.64885000000001, 1, 5, 1435.2, -, -, 1.79, -16.4, 
1657933380.9388528, 1:3:0, 40.246235, -111.64885000000001, 1, 5, 1435.2, 1.15, 229.53, 1.79, -16.4, 
1657933381.4625952, 1:3:1, 40.24622, -111.64885666666666, 1, 5, 1437.9, 0.51, 229.53, 1.79, -16.4, 
1657933381.9848557, 1:3:1, 40.246255, -111.64880166666666, 1, 5, 1430.8, 0.86, 212.16, 1.79, -16.4, 
1657933382.5605228, 1:3:2, 40.246251666666666, -111.64883166666665, 1, 5, 1430.3, 1.17, 218.96, 1.79, -16.4, 
1657933383.0810316, 1:3:2, 40.246273333333335, -111.64878666666667, 1, 5, 1428.9, 0.2, 218.96, 1.79, -16.4, 
1657933383.6570983, 1:3:3, 40.24627666666667, -111.648765, 1, 5, 1427.6, 0.44, 218.96, 1.79, -16.4, 
1657933384.1743643, 1:3:4, 40.24628166666666, -111.64877833333334, 1, 5, 1426.1, 0.66, 57.01, 1.79, -16.4, 
1657933384.7651906, 1:3:4, 40.24623, -111.64865333333334, 1, 5, 1449.3, 1.06, 67.56, 1.79, -16.4, 
1657933385.2863536, 1:3:5, 40.24625666666667, -111.64862166666666, 1, 5, 1449.2, 1.17, 212.98, 1.79, -16.4, 
1657933385.860887, 1:3:5, 40.24624666666667, -111.64859999999999, 1, 5, 1445.6, 0.85, 237.91, 1.79, -16.4, 
1657933386.3818047, 1:3:6, 40.24628333333333, -111.648525, 1, 5, 1436.3, 0.22, 237.91, 1.79, -16.4, 
1657933386.9019425, 1:3:6, 40.24628, -111.6485, 1, 5, 1433.8, 0.58, 240.02, 1.79, -16.4, 
1657933387.4674582, 1:3:7, 40.246318333333335, -111.64865999999999, 1, 5, 1415.4, 1.4, 240.16, 1.79, -16.4, 
1657933387.9867656, 1:3:7, 40.24633333333334, -111.64865166666665, 1, 5, 1409.3, 0.83, 251.32, 1.79, -16.4, 
1657933388.505017, 1:3:8, 40.24623999999999, -111.64859833333334, 1, 5, 1437.6, 0.39, 251.32, 1.79, -16.4, 
1657933389.0650108, 1:3:8, 40.24623833333333, -111.64863166666667, 1, 5, 1436.4, 1.14, 41.44, 1.79, -16.4, 
1657933389.6525817, 1:3:9, 40.246255, -111.64860833333333, 1, 5, 1436.1, 0.74, 313.84, 3.2, -16.4, 
1657933390.180653, 1:3:10, 40.24623666666666, -111.64864666666666, 1, 5, 1439.0, 0.9, 11.91, 1.79, -16.4, 
1657933390.7675822, 1:3:10, 40.246271666666665, -111.64875833333332, 1, 5, 1437.8, 0.76, 105.5, 1.79, -16.4, 
1657933391.2940948, 1:3:11, 40.246245, -111.64882666666666, 1, 5, 1420.9, 1.06, 327.24, 1.79, -16.4, 
1657933391.8692608, 1:3:11, 40.24619333333333, -111.64880333333333, 1, 5, 1446.7, 1.57, 307.84, 1.79, -16.4, 
1657933392.3845215, 1:3:12, 40.246165, -111.64878166666668, 1, 5, 1451.6, 2.14, 290.7, 1.79, -16.4, 
1657933392.9014428, 1:3:12, 40.24619833333334, -111.64886333333334, 1, 5, 1452.3, 2.64, 293.13, 1.79, -16.4, 
1657933393.4609368, 1:3:13, 40.24619499999999, -111.64889333333333, 1, 5, 1450.6, 2.41, 280.15, 1.79, -16.4, 
1657933393.980222, 1:3:13, 40.24622166666666, -111.64885833333334, 1, 5, 1446.9, 3.1, 265.77, 1.79, -16.4, 
1657933394.501915, 1:3:14, 40.2462, -111.648895, 1, 5, 1449.9, 3.51, 265.27, 1.79, -16.4, 
1657933395.0783195, 1:3:14, 40.246208333333335, -111.64888833333335, 1, 5, 1443.9, 3.48, 272.2, 1.79, -16.4, 
1657933395.6534252, 1:3:15, 40.24619499999999, -111.64894833333334, 1, 5, 1447.3, 3.59, 266.3, 1.79, -16.4, 
1657933396.1763427, 1:3:16, 40.24621833333333, -111.64897, 1, 5, 1442.9, 3.22, 270.3, 1.79, -16.4, 
1657933396.7617378, 1:3:16, 40.24621166666667, -111.649005, 1, 5, 1444.5, 3.2, 270.33, 1.79, -16.4, 
1657933397.2775385, 1:3:17, 40.24622166666666, -111.64902333333333, 1, 5, 1445.0, 3.08, 275.12, 1.79, -16.4, 
1657933397.8007777, 1:3:17, 40.24621333333334, -111.64904, 1, 5, 1444.3, 2.72, 279.16, 1.79, -16.4, 
