SystemTime, Temp, Hum, Pres, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MPRPressure, RTC, 
1654657766.5715704, 22.6564453125, 28.020229486867187, 858.3409071710963, 0.39, -0.24, 10.04, 0.02, 0.01, 0.00, 859.1555732985827, 3:9:23, 
1654657766.6386747, 22.651171875, 28.064580835752206, 858.3333155913405, 0.39, -0.24, 10.04, 0.01, 0.02, 0.00, 859.0783899517561, 3:9:23, 
1654657766.7053754, 22.6564453125, 27.89778376916527, 858.3409071710963, 0.39, -0.24, 10.04, 0.02, 0.00, -0.00, 859.0837837962931, 3:9:23, 
1654657766.7719467, 22.6564453125, 27.8866636771086, 858.3409071710963, 0.39, -0.24, 10.04, 0.01, 0.01, 0.00, 859.1325852468657, 3:9:23, 
1654657766.8384993, 22.6564453125, 27.986870686206508, 858.3409071710963, 0.41, -0.26, 10.05, 0.02, 0.01, -0.00, 859.1191006355232, 3:9:23, 
1654657766.9049246, 22.651171875, 27.870112335842943, 858.3059627303504, 0.41, -0.26, 10.05, 0.02, 0.02, -0.00, 859.2011641274071, 3:9:23, 
1654657766.9713562, 22.64609375, 27.986743211339693, 858.3555280744033, 0.41, -0.26, 10.05, 0.02, 0.01, 0.00, 859.1668746871363, 3:9:23, 
1654657766.3286107, 22.64609375, 27.98699342950532, 858.3260052090617, 0.39, -0.24, 10.04, 0.02, 0.01, 0.00, 859.0918745630985, 3:9:23, 
1654657766.3949137, 22.64609375, 27.792141443057144, 858.3333155913405, 0.39, -0.24, 10.04, 0.02, 0.01, 0.00, 859.1437582105493, 3:9:23, 
1654657766.504679, 22.6564453125, 27.992553188377535, 858.3409071710963, 0.39, -0.24, 10.04, 0.02, 0.02, 0.01, 859.080316324805, 3:9:23, 
1654657766.5715704, 22.6564453125, 28.020229486867187, 858.3409071710963, 0.39, -0.24, 10.04, 0.02, 0.01, 0.00, 859.1555732985827, 3:9:23, 
1654657766.6386747, 22.651171875, 28.064580835752206, 858.3333155913405, 0.39, -0.24, 10.04, 0.01, 0.02, 0.00, 859.0783899517561, 3:9:23, 
1654657766.7053754, 22.6564453125, 27.89778376916527, 858.3409071710963, 0.39, -0.24, 10.04, 0.02, 0.00, -0.00, 859.0837837962931, 3:9:23, 
1654657766.7719467, 22.6564453125, 27.8866636771086, 858.3409071710963, 0.39, -0.24, 10.04, 0.01, 0.01, 0.00, 859.1325852468657, 3:9:23, 
1654657766.8384993, 22.6564453125, 27.986870686206508, 858.3409071710963, 0.41, -0.26, 10.05, 0.02, 0.01, -0.00, 859.1191006355232, 3:9:23, 
1654657766.9049246, 22.651171875, 27.870112335842943, 858.3059627303504, 0.41, -0.26, 10.05, 0.02, 0.02, -0.00, 859.2011641274071, 3:9:23, 
1654657766.9713562, 22.64609375, 27.986743211339693, 858.3555280744033, 0.41, -0.26, 10.05, 0.02, 0.01, 0.00, 859.1668746871363, 3:9:23, 
1654657767.0473006, 22.651171875, 28.098186899300064, 858.3409071710963, 0.41, -0.26, 10.05, 0.02, 0.01, 0.00, 859.1812582725682, 3:9:23, 
1654657767.1140723, 22.6359375, 27.870360488166515, 858.3135540798626, 0.41, -0.26, 10.05, 0.02, 0.01, 0.01, 859.17817607569, 3:9:23, 
1654657767.1810243, 22.64609375, 27.992430508786207, 858.3409071710963, 0.41, -0.26, 10.05, 0.02, 0.01, 0.00, 859.2054021481147, 3:9:23, 
1654657767.2478628, 22.64609375, 27.975873884797995, 858.2986525697872, 0.41, -0.26, 10.05, 0.02, 0.00, -0.00, 859.1582702208513, 3:9:24, 
1654657767.3302412, 22.6564453125, 27.869983471613235, 858.2314949176987, 0.41, -0.26, 10.05, 0.01, 0.01, 0.00, 859.14247396185, 3:9:24, 
1654657767.3993707, 22.6564453125, 28.0091099225983, 858.2862010072184, 0.41, -0.26, 10.05, 0.02, 0.02, 0.00, 859.1252650292797, 3:9:24, 
1654657767.5163302, 22.6564453125, 27.8866636771086, 858.3135540798626, 0.41, -0.26, 10.05, 0.02, 0.01, 0.01, 859.1713695575838, 3:9:24, 
1654657767.5827909, 22.651171875, 28.031222069574284, 858.3409071710963, 0.41, -0.26, 10.05, 0.01, 0.02, -0.00, 859.1762497026411, 3:9:24, 
1654657767.6748269, 22.651171875, 27.9866204474876, 858.300821023659, 0.41, -0.26, 10.05, 0.02, 0.02, 0.01, 859.0837837962931, 3:9:24, 
1654657767.806737, 22.6564453125, 27.980937648411746, 858.3828816276608, 0.41, -0.26, 10.05, 0.02, 0.01, 0.01, 859.1599397441602, 3:9:24, 
1654657767.9360154, 22.6564453125, 27.825502528151482, 858.300821023659, 0.37, -0.27, 10.09, 0.01, 0.01, 0.00, 859.1893490393737, 3:9:24, 
1654657768.002387, 22.6564453125, 27.881103617598196, 858.3281745397361, 0.37, -0.27, 10.09, 0.02, 0.01, 0.01, 859.1049738998312, 3:9:24, 
1654657768.082189, 22.6564453125, 28.008737684232266, 858.273467526172, 0.37, -0.27, 10.09, 0.02, 0.01, 0.01, 859.1644346146078, 3:9:24, 
1654657768.1832845, 22.6615234375, 28.064337081738895, 858.2534236530497, 0.37, -0.27, 10.09, 0.02, 0.01, 0.00, 859.1259071536294, 3:9:24, 
1654657768.2523367, 22.6716796875, 27.819568314002492, 858.3628385670459, 0.37, -0.27, 10.09, 0.02, 0.01, 0.00, 859.0432015373959, 3:9:25, 
1654657768.332536, 22.6666015625, 28.097453258903997, 858.308131072867, 0.37, -0.27, 10.09, 0.01, 0.01, 0.00, 859.0661895891129, 3:9:25, 
1654657768.45537, 22.6716796875, 27.819443608579075, 858.2534236530497, 0.37, -0.27, 10.09, 0.02, 0.01, 0.01, 859.0783899517561, 3:9:25, 
1654657768.5788107, 22.6716796875, 27.797451776232656, 858.3701490870118, 0.37, -0.27, 10.09, 0.02, 0.01, 0.01, 859.1011211537333, 3:9:25, 
1654657768.6450744, 22.6716796875, 27.997617696869433, 858.3482176090864, 0.37, -0.27, 10.09, 0.01, 0.02, 0.00, 859.1441434851591, 3:9:25, 
1654657768.715191, 22.6615234375, 28.00317769504508, 858.308131072867, 0.37, -0.27, 10.09, 0.02, 0.01, 0.00, 859.1297598997272, 3:9:25, 
1654657768.8472924, 22.6666015625, 27.853054589353626, 858.3555280744033, 0.34, -0.15, 10.06, 0.02, 0.01, -0.00, 859.1871658165849, 3:9:25, 
1654657768.913506, 22.6615234375, 27.85330318522544, 858.3281745397361, 0.34, -0.15, 10.06, 0.02, 0.01, 0.00, 859.1989809046182, 3:9:25, 
1654657768.9814594, 22.6564453125, 27.84749434848959, 858.3482176090864, 0.34, -0.15, 10.06, 0.01, 0.01, 0.00, 859.1441434851591, 3:9:25, 
1654657769.104969, 22.6666015625, 28.108815952575167, 858.273467526172, 0.34, -0.15, 10.06, 0.01, 0.00, 0.00, 859.14247396185, 3:9:25, 
1654657769.1714897, 22.6767578125, 27.947577308807983, 858.3154411493974, 0.34, -0.15, 10.06, 0.02, 0.01, -0.00, 859.1610955679896, 3:9:25, 
1654657769.258517, 22.6666015625, 27.941770623293838, 858.3628385670459, 0.34, -0.15, 10.06, 0.02, 0.01, 0.01, 859.1679020860958, 3:9:26, 
1654657769.3269312, 22.6666015625, 27.853054589353626, 858.308131072867, 0.34, -0.15, 10.06, 0.02, 0.01, 0.00, 859.1878079409346, 3:9:26, 
1654657769.396451, 22.6564453125, 28.008737684232266, 858.3555280744033, 0.34, -0.15, 10.06, 0.03, 0.01, 0.00, 859.099965329904, 3:9:26, 
1654657769.5200381, 22.6666015625, 28.052973224982082, 858.2534236530497, 0.34, -0.15, 10.06, 0.01, 0.02, 0.00, 859.2756505519652, 3:9:26, 
1654657769.5863886, 22.6666015625, 27.847245584859383, 858.2680429465622, 0.34, -0.15, 10.06, 0.02, 0.02, 0.00, 859.1559585731925, 3:9:26, 
1654657769.6587179, 22.6615234375, 27.94201722074775, 858.3628385670459, 0.34, -0.15, 10.06, 0.02, 0.01, 0.00, 859.1021485526927, 3:9:26, 
1654657769.725973, 22.6564453125, 27.980937648411746, 858.3555280744033, 0.34, -0.15, 10.06, 0.01, 0.01, 0.00, 859.0851964698622, 3:9:26, 
1654657769.792237, 22.6615234375, 27.814132714547764, 858.3901923420209, 0.34, -0.15, 10.06, 0.02, 0.01, 0.00, 859.1848541689262, 3:9:26, 
1654657769.8584628, 22.6564453125, 27.84205852904019, 858.3555280744033, 0.39, -0.30, 10.07, 0.01, 0.02, 0.00, 859.2146487387495, 3:9:26, 
1654657769.9249125, 22.6564453125, 27.997495040266784, 858.4102351995082, 0.39, -0.30, 10.07, 0.02, 0.02, 0.01, 859.119485910133, 3:9:26, 
1654657769.991179, 22.6716796875, 27.89753619268137, 858.3628385670459, 0.39, -0.30, 10.07, 0.01, 0.02, -0.00, 859.1897343139834, 3:9:26, 
1654657770.0574906, 22.6666015625, 27.875295462925166, 858.3755709406265, 0.39, -0.30, 10.07, 0.01, 0.01, 0.00, 859.0777478274065, 3:9:26, 
1654657770.123829, 22.6666015625, 27.836373839796153, 858.3427951089092, 0.39, -0.30, 10.07, 0.02, 0.01, -0.00, 859.1338694955649, 3:9:26, 
1654657770.1902397, 22.6615234375, 27.858614821229196, 858.3208642961362, 0.39, -0.30, 10.07, 0.02, 0.01, 0.00, 859.1698284591447, 3:9:26, 
1654657770.2564971, 22.6615234375, 27.975377614282266, 858.3555280744033, 0.39, -0.30, 10.07, 0.02, 0.01, -0.00, 859.2015494020168, 3:9:27, 
1654657770.331085, 22.6564453125, 27.89222372763096, 858.3482176090864, 0.39, -0.30, 10.07, 0.02, 0.01, 0.00, 859.1006074542536, 3:9:27, 
1654657770.397001, 22.6615234375, 27.953137387879757, 858.300821023659, 0.39, -0.30, 10.07, 0.02, 0.01, 0.00, 859.1002221796439, 3:9:27, 
1654657770.4635239, 22.651171875, 27.958943632831506, 858.2862010072184, 0.39, -0.30, 10.07, 0.02, 0.01, 0.00, 859.1612239928595, 3:9:27, 
1654657770.5300043, 22.6564453125, 27.853054589353626, 858.3956134093324, 0.39, -0.30, 10.07, 0.02, 0.01, 0.00, 859.094443060497, 3:9:27, 
1654657770.5961063, 22.6615234375, 27.947577308807983, 858.3482176090864, 0.39, -0.30, 10.07, 0.02, 0.02, 0.01, 859.060795744576, 3:9:27, 
1654657770.662639, 22.651171875, 28.00886020333815, 858.3409071710963, 0.39, -0.30, 10.07, 0.03, 0.01, 0.00, 859.0871228429112, 3:9:27, 
1654657770.7293386, 22.6564453125, 27.797451776232656, 858.2935110017756, 0.39, -0.30, 10.07, 0.01, 0.01, 0.00, 859.1075423972297, 3:9:27, 
1654657770.795976, 22.6564453125, 28.0199800273339, 858.4175461355865, 0.41, -0.18, 10.08, 0.01, 0.01, -0.00, 859.0658043145032, 3:9:27, 
1654657770.8622143, 22.6564453125, 27.99205768970533, 858.3135540798626, 0.41, -0.18, 10.08, 0.02, 0.01, 0.00, 859.0361381695499, 3:9:27, 
1654657770.928665, 22.6666015625, 28.047901493109464, 858.3555280744033, 0.41, -0.18, 10.08, 0.01, 0.02, 0.00, 859.1345116199145, 3:9:27, 
1654657771.0025022, 22.6615234375, 27.81981769459923, 858.3828816276608, 0.41, -0.18, 10.08, 0.03, 0.02, 0.00, 859.1038180760019, 3:9:27, 
1654657771.0687368, 22.6615234375, 27.769775291294238, 858.2935110017756, 0.41, -0.18, 10.08, 0.02, 0.02, 0.01, 859.1348968945243, 3:9:27, 
1654657771.1347532, 22.6666015625, 27.830938129796216, 858.3555280744033, 0.41, -0.18, 10.08, 0.02, 0.02, -0.00, 859.2176025107578, 3:9:27, 
1654657771.2008748, 22.6615234375, 28.019857635641262, 858.3901923420209, 0.41, -0.18, 10.08, 0.02, 0.01, 0.02, 859.1038180760019, 3:9:28, 
1654657771.2672648, 22.6615234375, 28.030977551096424, 858.3628385670459, 0.41, -0.18, 10.08, 0.02, 0.01, 0.00, 859.0764635787071, 3:9:28, 
1654657771.3335478, 22.6564453125, 27.964257519057927, 858.3755709406265, 0.41, -0.18, 10.08, 0.03, 0.01, 0.00, 859.0528334026404, 3:9:28, 
1654657771.3995512, 22.6564453125, 27.94201722074775, 858.273467526172, 0.41, -0.18, 10.08, 0.01, 0.01, 0.00, 859.1482530809968, 3:9:28, 
1654657771.465925, 22.6666015625, 27.869983471613235, 858.4102351995082, 0.41, -0.18, 10.08, 0.02, 0.01, 0.01, 859.1454277338585, 3:9:28, 
1654657771.5323834, 22.6564453125, 27.808822026050528, 858.3555280744033, 0.41, -0.18, 10.08, 0.02, 0.01, 0.01, 859.0494943560224, 3:9:28, 
1654657771.59886, 22.6666015625, 28.003055102149585, 858.3208642961362, 0.41, -0.18, 10.08, 0.01, 0.01, 0.01, 859.082242697854, 3:9:28, 
