SystemTime, Temp, Hum, Pres, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MPRPressure, RTC, 
1654738742.0370958, 23.819921875, 24.410818259466417, 854.2766817921365, 0.42, -0.21, 10.02, 0.02, 0.01, 0.01, 855.2296250248912, 853.9237064393214, 25.276444969177245, 1:38:58, 
1654738742.1384084, 23.8404296875, 24.38832443656497, 854.3205825974069, 0.42, -0.21, 10.02, 0.02, 0.02, -0.00, 855.2216626829556, 853.9937145550898, 25.259027366638183, 1:38:58, 
1654738742.2411628, 23.8505859375, 24.287039111838098, 854.2931808315936, 0.42, -0.21, 10.02, 0.01, 0.02, 0.01, 855.1205923103225, 853.9237064393214, 25.276444969177245, 1:38:58, 
1654738742.3440416, 23.8607421875, 24.275877196672468, 854.3278528887842, 0.42, -0.21, 10.02, 0.01, 0.01, 0.01, 855.1560375744226, 853.9237064393214, 25.276444969177245, 1:38:59, 
1654738742.4466019, 23.876171875, 24.16391899241619, 854.3625254349467, 0.42, -0.21, 10.02, 0.01, 0.02, 0.00, 855.0943936368573, 853.9937145550898, 25.259027366638183, 1:38:59, 
1654738742.5490232, 23.8708984375, 24.370247406772815, 854.3499435539155, 0.42, -0.21, 10.02, 0.02, 0.01, 0.01, 855.105566600541, 853.8964159078873, 25.259027366638183, 1:38:59, 
1654738742.6621168, 23.88125, 24.29211242332236, 854.3024082059048, 0.42, -0.21, 10.02, 0.02, 0.01, 0.00, 855.1482036573569, 853.9509969707556, 25.293862571716307, 1:38:59, 
1654738742.7662673, 23.8708984375, 24.40356747359565, 854.3499435539155, 0.42, -0.21, 10.02, 0.02, 0.00, 0.00, 855.2325787968996, 853.9237064393214, 25.276444969177245, 1:38:59, 
1654738742.8694935, 23.88125, 24.448050005457322, 854.3225408925437, 0.42, -0.21, 10.02, 0.02, 0.01, 0.00, 855.1407550149012, 853.8964159078873, 25.259027366638183, 1:38:59, 
1654738742.9731739, 23.886328125, 24.425891467708908, 854.3024082059048, 0.42, -0.21, 10.02, 0.01, 0.01, 0.00, 855.0339055231212, 853.9237064393214, 25.276444969177245, 1:38:59, 
1654738743.0864227, 23.876171875, 24.464627858887383, 854.309678188767, 0.39, -0.20, 10.05, 0.02, 0.02, 0.00, 855.1566796987722, 853.9237064393214, 25.276444969177245, 1:38:59, 
1654738743.190202, 23.89140625, 24.39207351182694, 854.3644843798843, 0.39, -0.20, 10.05, 0.01, 0.03, 0.00, 855.1697790355048, 854.0210085191554, 25.276444969177245, 1:38:59, 
1654738743.2940583, 23.886328125, 24.386492344940528, 854.3443515064039, 0.39, -0.20, 10.05, 0.02, 0.01, 0.00, 855.10749297359, 853.9237064393214, 25.276444969177245, 1:38:59, 
1654738743.398003, 23.88125, 24.185395984918195, 854.337081274995, 0.39, -0.20, 10.05, 0.01, 0.02, 0.00, 855.1151984657856, 853.9237064393214, 25.276444969177245, 1:39:0, 
1654738743.5015423, 23.89140625, 24.185227642052602, 854.309678188767, 0.39, -0.20, 10.05, 0.03, 0.01, 0.01, 855.1790256261396, 854.048302483221, 25.293862571716307, 1:39:0, 
1654738743.6107478, 23.88125, 24.24137883353706, 854.3790253130078, 0.39, -0.20, 10.05, 0.01, 0.02, 0.00, 855.103768652362, 853.8964159078873, 25.259027366638183, 1:39:0, 
1654738743.7180738, 23.88125, 24.308188131459314, 854.3516217645994, 0.39, -0.20, 10.05, 0.02, 0.02, -0.00, 855.0658833157333, 854.0210085191554, 25.276444969177245, 1:39:0, 
1654738743.8203382, 23.88125, 24.24137883353706, 854.3516217645994, 0.39, -0.20, 10.05, 0.02, 0.01, 0.01, 855.1578355226017, 854.0210085191554, 25.276444969177245, 1:39:0, 
1654738743.9247816, 23.886328125, 24.26387181557598, 854.309678188767, 0.39, -0.20, 10.05, 0.01, 0.01, 0.01, 855.0887429425804, 853.9237064393214, 25.276444969177245, 1:39:0, 
1654738744.0284345, 23.886328125, 24.459046809495668, 854.3314882980735, 0.46, -0.28, 10.07, 0.02, 0.02, -0.00, 855.2545394496572, 853.8964159078873, 25.259027366638183, 1:39:0, 
1654738744.1388524, 23.88125, 24.352838736519487, 854.3717548330524, 0.46, -0.28, 10.07, 0.02, 0.01, 0.01, 855.1101898958584, 853.9237064393214, 25.276444969177245, 1:39:0, 
1654738744.243705, 23.89140625, 24.358752718298508, 854.337081274995, 0.46, -0.28, 10.07, 0.01, 0.01, 0.01, 855.103768652362, 854.0210085191554, 25.276444969177245, 1:39:0, 
1654738744.348707, 23.89140625, 24.25829050466344, 854.2968147237686, 0.46, -0.28, 10.07, 0.02, 0.01, 0.00, 855.2252585793136, 853.9237064393214, 25.276444969177245, 1:39:1, 
1654738744.4527323, 23.89140625, 24.230383814533006, 854.309678188767, 0.46, -0.28, 10.07, 0.02, 0.01, -0.00, 855.1502584552758, 853.9237064393214, 25.276444969177245, 1:39:1, 
1654738744.5560174, 23.89140625, 24.129748898029714, 854.3242182348532, 0.46, -0.28, 10.07, 0.02, 0.01, -0.00, 855.0765425799373, 853.9237064393214, 25.276444969177245, 1:39:1, 
1654738744.6613529, 23.89140625, 24.37516382213134, 854.3516217645994, 0.46, -0.28, 10.07, 0.02, 0.01, 0.00, 855.2765001024148, 853.9237064393214, 25.276444969177245, 1:39:1, 
1654738744.7674081, 23.9015625, 24.386492344940528, 854.309678188767, 0.46, -0.28, 10.07, 0.02, 0.02, -0.00, 855.2347620196883, 854.0210085191554, 25.276444969177245, 1:39:1, 
