SystemTime, ADC, Temp, Hum, Pres, TimeStamp, Latitude, Longitude, FixQuality, Satellites, Altitude, Knots, TrackAngle, HDilution, HGeoID, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MPRPressure, MS5803Pressure, TempC, TempF, RTC, 
1653938527.2891076, 0, 23.6974609375, 25.614655322308835, 853.9699821160772, -, -, -, -, -, -, -, -, -, -, 0.37, -0.23, 10.05, 0.02, 0.01, 0.00, 854.7490591616215, 854.2682555094339, 24.87584011077881, 76.77651219940185, 19:22:4, 
1653938527.3914015, 0, 23.6974609375, 25.485777956839044, 853.9990563368171, -, -, -, -, -, -, -, -, -, -, 0.37, -0.23, 10.05, 0.01, 0.01, 0.01, 854.8910970677616, 854.3654786387435, 24.87584011077881, 76.77651219940185, 19:22:4, 
1653938527.4987395, 0, 23.7076171875, 25.413121025237565, 853.9590818342265, -, -, -, -, -, -, -, -, -, -, 0.37, -0.23, 10.05, 0.01, 0.02, 0.00, 854.8311226535054, 854.392806929124, 24.893257713317873, 76.80786388397217, 19:22:5, 
1653938527.6048324, 0, 23.723046875, 25.552391736028092, 853.9518136275104, -, -, -, -, -, -, -, -, -, -, 0.37, -0.23, 10.05, 0.01, 0.02, -0.00, 854.7104032757733, 854.392806929124, 24.893257713317873, 76.80786388397217, 19:22:5, 
1653938527.7108073, 0, 23.728125, 25.697242851168152, 853.9663500677905, -, -, -, -, -, -, -, -, -, -, 0.37, -0.23, 10.05, 0.02, 0.01, 0.01, 854.7904119697382, 854.2682555094339, 24.87584011077881, 76.77651219940185, 19:22:5, 
1653938527.8186114, 0, 23.728125, 25.546662140936476, 853.9937459492322, -, -, -, -, -, -, -, -, -, -, 0.37, -0.23, 10.05, 0.02, 0.01, 0.00, 854.7410968196859, 854.2955803671829, 24.893257713317873, 76.80786388397217, 19:22:5, 
1653938527.9277275, 0, 23.723046875, 25.764015497814547, 853.9663500677905, -, -, -, -, -, -, -, -, -, -, 0.37, -0.23, 10.05, 0.01, 0.01, 0.01, 854.7994017106332, 854.392806929124, 24.893257713317873, 76.80786388397217, 19:22:5, 
1653938528.0354764, 0, 23.728125, 25.641170168016746, 854.008282940384, -, -, -, -, -, -, -, -, -, -, 0.37, -0.23, 10.05, 0.02, 0.00, 0.01, 854.8202065395615, 854.2955803671829, 24.893257713317873, 76.80786388397217, 19:22:5, 
1653938528.1443226, 0, 23.723046875, 25.669206946514368, 853.9663500677905, -, -, -, -, -, -, -, -, -, -, 0.37, -0.23, 10.05, 0.02, 0.01, -0.00, 854.7816790785831, 854.392806929124, 24.893257713317873, 76.80786388397217, 19:22:5, 
1653938528.2480009, 0, 23.723046875, 25.39592063599658, 853.9808866154533, -, -, -, -, -, -, -, -, -, -, 0.38, -0.26, 10.05, 0.01, 0.02, -0.00, 854.7671670682814, 854.3654786387435, 24.87584011077881, 76.77651219940185, 19:22:5, 
1653938528.3619528, 0, 23.723046875, 25.674783992371736, 853.9736183281998, -, -, -, -, -, -, -, -, -, -, 0.38, -0.26, 10.05, 0.02, 0.01, 0.00, 854.8027407572513, 854.392806929124, 24.893257713317873, 76.80786388397217, 19:22:5, 
1653938528.4658134, 0, 23.733203125, 25.557664132765872, 853.9115583608624, -, -, -, -, -, -, -, -, -, -, 0.38, -0.26, 10.05, 0.01, 0.01, 0.00, 854.7359598248888, 854.3654786387435, 24.87584011077881, 76.77651219940185, 19:22:6, 
1653938528.5755732, 0, 23.728125, 25.535355136507334, 854.0010144313859, -, -, -, -, -, -, -, -, -, -, 0.38, -0.26, 10.05, 0.02, 0.01, 0.00, 854.8081346017883, 854.2955803671829, 24.893257713317873, 76.80786388397217, 19:22:6, 
1653938528.6864707, 0, 23.728125, 25.368187588515685, 853.9663500677905, -, -, -, -, -, -, -, -, -, -, 0.38, -0.26, 10.05, 0.02, 0.01, 0.00, 854.831764777855, 854.2955803671829, 24.893257713317873, 76.80786388397217, 19:22:6, 
1653938528.7925143, 0, 23.728125, 25.764015497814547, 853.9115583608624, -, -, -, -, -, -, -, -, -, -, 0.38, -0.26, 10.05, 0.02, 0.01, 0.00, 854.7619016486143, 854.3654786387435, 24.87584011077881, 76.77651219940185, 19:22:6, 
1653938528.8983445, 0, 23.728125, 25.523895067026007, 853.9389542050005, -, -, -, -, -, -, -, -, -, -, 0.38, -0.26, 10.05, 0.01, 0.02, 0.00, 854.7774410578756, 854.3654786387435, 24.87584011077881, 76.77651219940185, 19:22:6, 
1653938529.033334, 0, 23.71796875, 25.563241359251922, 854.008282940384, -, -, -, -, -, -, -, -, -, -, 0.38, -0.26, 10.05, 0.02, 0.01, 0.00, 854.8181517416426, 854.2682555094339, 24.87584011077881, 76.77651219940185, 19:22:6, 
1653938529.14232, 0, 23.728125, 25.663932178450736, 853.988154929549, -, -, -, -, -, -, -, -, -, -, 0.38, -0.26, 10.05, 0.01, 0.01, 0.00, 854.860403523849, 854.3654786387435, 24.87584011077881, 76.77651219940185, 19:22:6, 
1653938529.2463908, 0, 23.733203125, 25.518470477145733, 853.9534903091752, -, -, -, -, -, -, -, -, -, -, 0.38, -0.22, 10.08, 0.02, 0.01, 0.00, 854.8266277830579, 854.3654786387435, 24.87584011077881, 76.77651219940185, 19:22:6, 
1653938529.3501782, 0, 23.733203125, 25.540779836988595, 854.008282940384, -, -, -, -, -, -, -, -, -, -, 0.38, -0.22, 10.08, 0.01, 0.00, 0.00, 854.7421242186454, 854.3654786387435, 24.87584011077881, 76.77651219940185, 19:22:6, 
