SystemTime, ADC, Temp, Hum, Pres, TimeStamp, Latitude, Longitude, FixQuality, Satellites, Altitude, Knots, TrackAngle, HDilution, HGeoID, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MPRPressure, MS5803Pressure, TempC, TempF, RTC, 
1651509593.8175576, 5, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.73, -0.15, 10.05, 0.01, 0.02, 0.00, 857.306255171623, -, -, -, 16:39:53, 
1651509593.8683105, 4, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.73, -0.15, 10.05, 0.01, 0.01, 0.00, 857.313575389209, -, -, -, 16:39:53, 
1651509593.9186609, 2, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.73, -0.15, 10.05, 0.01, 0.01, 0.00, 857.3971799795319, -, -, -, 16:39:53, 
1651509593.9702919, 12, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.73, -0.15, 10.05, 0.01, 0.01, 0.01, 857.2818544463368, -, -, -, 16:39:54, 
1651509594.021717, 17, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.73, -0.15, 10.05, 0.01, 0.01, 0.00, 857.2950822079393, -, -, -, 16:39:54, 
1651509594.0736673, 17, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.73, -0.15, 10.05, 0.01, 0.01, -0.01, 857.3237209539332, -, -, -, 16:39:54, 
1651509594.1258194, 15, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.73, -0.15, 10.05, 0.02, 0.01, 0.00, 857.2577105707903, -, -, -, 16:39:54, 
1651509594.177856, 4, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.73, -0.15, 10.05, 0.02, 0.01, 0.01, 857.2249622289588, -, -, -, 16:39:54, 
1651509594.2303438, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.73, -0.15, 10.05, 0.02, 0.01, 0.00, 857.3093373685012, -, -, -, 16:39:54, 
1651509594.2826056, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.73, -0.15, 10.05, 0.01, 0.02, 0.00, 857.2268886020076, -, -, -, 16:39:54, 
1651509594.344933, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.73, -0.15, 10.05, 0.02, 0.01, 0.00, 857.2474365811961, -, -, -, 16:39:54, 
1651509594.397005, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.73, -0.15, 10.05, 0.01, 0.00, 0.01, 857.2578389956602, -, -, -, 16:39:54, 
1651509594.449094, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.73, -0.15, 10.05, 0.01, 0.02, 0.01, 857.2609211925385, -, -, -, 16:39:54, 
1651509594.501192, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.73, -0.15, 10.05, 0.01, 0.01, 0.00, 857.2750479282306, -, -, -, 16:39:54, 
1651509594.553364, 3, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.73, -0.15, 10.05, 0.01, 0.01, 0.01, 857.2744058038809, -, -, -, 16:39:54, 
1651509594.6056979, 13, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.73, -0.15, 10.05, 0.01, 0.02, 0.01, 857.3120342907698, -, -, -, 16:39:54, 
1651509594.657657, 11, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.73, -0.15, 10.05, 0.01, 0.01, 0.01, 857.2324108714146, -, -, -, 16:39:54, 
