SystemTime, ADC, Temp, Hum, Pres, TimeStamp, Latitude, Longitude, FixQuality, Satellites, Altitude, Knots, TrackAngle, HDilution, HGeoID, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MPRPressure, MS5803Pressure, TempC, RTC, 
1654877153.5904386, 11, 23.8607421875, 34.585151718458896, 859.9730601734793, -, -, -, -, -, -, -, -, -, -, 0.35, -0.23, 10.03, 0.02, 0.01, 0.01, 860.7769372814206, 860.290609538143, 25.24160976409912, 16:5:50, 
1654877153.6824975, 9, 23.876171875, 34.707418224185595, 860.0501027278592, -, -, -, -, -, -, -, -, -, -, 0.35, -0.23, 10.03, 0.02, 0.02, 0.00, 860.8249681827737, 860.3879047527141, 25.24160976409912, 16:5:50, 
1654877153.7781603, 8, 23.886328125, 34.62946803869791, 859.9825149149463, -, -, -, -, -, -, -, -, -, -, 0.35, -0.23, 10.03, 0.01, 0.02, 0.00, 860.6843429502027, 860.4154252704582, 25.259027366638183, 16:5:50, 
1654877153.8766391, 9, 23.89140625, 34.74066062795518, 859.9496475825764, -, -, -, -, -, -, -, -, -, -, 0.35, -0.23, 10.03, 0.01, 0.01, 0.01, 860.6745826600882, 860.3879047527141, 25.24160976409912, 16:5:50, 
1654877153.9715364, 10, 23.896484375, 34.43455137122335, 859.9770551598252, -, -, -, -, -, -, -, -, -, -, 0.35, -0.23, 10.03, 0.01, 0.01, 0.01, 860.721072463002, 860.3879047527141, 25.24160976409912, 16:5:50, 
1654877154.0686712, 8, 23.9015625, 34.55136449127907, 859.9843709386762, -, -, -, -, -, -, -, -, -, -, 0.35, -0.23, 10.03, 0.02, 0.01, 0.01, 860.6508240591515, 860.4851999672851, 25.24160976409912, 16:5:50, 
1654877154.166592, 6, 23.896484375, 34.62360696148077, 860.011778756408, -, -, -, -, -, -, -, -, -, -, 0.35, -0.23, 10.03, 0.02, 0.01, 0.00, 860.6544199555095, 860.4851999672851, 25.24160976409912, 16:5:50, 
1654877154.2594638, 7, 23.91171875, 34.473404492681894, 860.011778756408, -, -, -, -, -, -, -, -, -, -, 0.35, -0.23, 10.03, 0.02, 0.01, -0.00, 860.7426478411498, 860.290609538143, 25.24160976409912, 16:5:50, 
1654877154.3525305, 7, 23.91171875, 34.46783942174681, 860.0065998161722, -, -, -, -, -, -, -, -, -, -, 0.35, -0.23, 10.03, 0.01, 0.01, 0.01, 860.603820556758, 860.3181266232557, 25.259027366638183, 16:5:50, 
1654877154.4495468, 6, 23.91171875, 34.562392643609655, 859.9992839556913, -, -, -, -, -, -, -, -, -, -, 0.35, -0.23, 10.03, 0.01, 0.02, 0.00, 860.5518084844372, 860.3879047527141, 25.24160976409912, 16:5:51, 
1654877154.556065, 5, 23.91171875, 34.623657991233564, 859.9992839556913, -, -, -, -, -, -, -, -, -, -, 0.38, -0.19, 10.05, 0.02, 0.00, 0.00, 860.6088291266851, 860.3879047527141, 25.24160976409912, 16:5:51, 
1654877154.6490178, 4, 23.9169921875, 34.78498492046811, 859.9992839556913, -, -, -, -, -, -, -, -, -, -, 0.38, -0.19, 10.05, 0.02, 0.02, -0.00, 860.6567316031683, 860.4154252704582, 25.259027366638183, 16:5:51, 
1654877154.7421517, 4, 23.91171875, 34.740467622100084, 859.9992839556913, -, -, -, -, -, -, -, -, -, -, 0.38, -0.19, 10.05, 0.02, 0.01, 0.00, 860.7107984734077, 860.3879047527141, 25.24160976409912, 16:5:51, 
1654877154.835375, 4, 23.91171875, 34.651333614427145, 859.9992839556913, -, -, -, -, -, -, -, -, -, -, 0.38, -0.19, 10.05, 0.02, 0.01, 0.01, 860.6655929191932, 860.290609538143, 25.24160976409912, 16:5:51, 
1654877154.9440353, 4, 23.91171875, 34.40656944459399, 860.0391865928025, -, -, -, -, -, -, -, -, -, -, 0.38, -0.19, 10.05, 0.02, 0.01, 0.01, 860.5813462045206, 860.3879047527141, 25.24160976409912, 16:5:51, 
1654877155.0419304, 5, 23.9169921875, 34.40656944459399, 860.0541005141683, -, -, -, -, -, -, -, -, -, -, 0.38, -0.19, 10.05, 0.03, 0.01, 0.01, 860.6848566496824, 860.3879047527141, 25.24160976409912, 16:5:51, 
1654877155.1347096, 3, 23.91171875, 34.62912275868572, 859.9718757044473, -, -, -, -, -, -, -, -, -, -, 0.38, -0.19, 10.05, 0.02, 0.02, 0.01, 860.719402939693, 860.290609538143, 25.24160976409912, 16:5:51, 
1654877155.2279358, 4, 23.9169921875, 34.473404492681894, 859.9444674718666, -, -, -, -, -, -, -, -, -, -, 0.38, -0.19, 10.05, 0.01, 0.01, 0.00, 860.7133669708063, 860.290609538143, 25.24160976409912, 16:5:51, 
1654877155.3222277, 3, 23.91171875, 34.400952510443716, 859.9992839556913, -, -, -, -, -, -, -, -, -, -, 0.38, -0.19, 10.05, 0.01, 0.03, 0.00, 860.6655929191932, 860.3879047527141, 25.24160976409912, 16:5:51, 
1654877155.443559, 3, 23.9220703125, 34.60691225598501, 859.9645600926518, -, -, -, -, -, -, -, -, -, -, 0.38, -0.19, 10.05, 0.02, 0.01, 0.01, 860.6645655202337, 860.3879047527141, 25.24160976409912, 16:5:52, 
1654877155.5491157, 4, 23.91171875, 34.51797507016861, 859.9444674718666, -, -, -, -, -, -, -, -, -, -, 0.39, -0.22, 10.10, 0.02, 0.01, 0.00, 860.6627675720548, 860.290609538143, 25.24160976409912, 16:5:52, 
1654877155.641987, 4, 23.91171875, 34.70712930984926, 859.9371520818922, -, -, -, -, -, -, -, -, -, -, 0.39, -0.22, 10.10, 0.01, 0.01, 0.00, 860.6479987120132, 860.3879047527141, 25.24160976409912, 16:5:52, 
1654877155.735567, 3, 23.9220703125, 34.58465252211006, 860.0541005141683, -, -, -, -, -, -, -, -, -, -, 0.39, -0.22, 10.10, 0.03, 0.01, -0.00, 860.7426478411498, 860.4154252704582, 25.259027366638183, 16:5:52, 
1654877155.8302112, 2, 23.91171875, 34.50112668568445, 860.0065998161722, -, -, -, -, -, -, -, -, -, -, 0.39, -0.22, 10.10, 0.02, 0.01, 0.00, 860.698084411285, 860.3879047527141, 25.24160976409912, 16:5:52, 
1654877155.9436514, 3, 23.9169921875, 34.78503403899849, 859.991968122074, -, -, -, -, -, -, -, -, -, -, 0.39, -0.22, 10.10, 0.02, 0.01, 0.00, 860.7079731262694, 860.4851999672851, 25.24160976409912, 16:5:52, 
1654877156.041894, 4, 23.906640625, 34.773855650110654, 859.9992839556913, -, -, -, -, -, -, -, -, -, -, 0.39, -0.22, 10.10, 0.02, 0.01, 0.00, 860.7540776545735, 860.4851999672851, 25.24160976409912, 16:5:52, 
1654877156.1347232, 2, 23.91171875, 34.58465252211006, 860.0391865928025, -, -, -, -, -, -, -, -, -, -, 0.39, -0.22, 10.10, 0.02, 0.01, 0.00, 860.6095996759047, 860.290609538143, 25.24160976409912, 16:5:52, 
1654877156.2281542, 2, 23.91171875, 34.51787245273247, 859.9718757044473, -, -, -, -, -, -, -, -, -, -, 0.39, -0.22, 10.10, 0.02, 0.02, 0.00, 860.5935465671638, 860.4154252704582, 25.259027366638183, 16:5:52, 
1654877156.3209977, 2, 23.9220703125, 34.5456476012601, 859.9992839556913, -, -, -, -, -, -, -, -, -, -, 0.39, -0.22, 10.10, 0.01, 0.01, 0.00, 860.5905927951554, 860.3879047527141, 25.24160976409912, 16:5:52, 
1654877156.4137902, 1, 23.91171875, 34.60691225598501, 859.9992839556913, -, -, -, -, -, -, -, -, -, -, 0.39, -0.22, 10.10, 0.02, 0.01, 0.00, 860.6563463285585, 860.3879047527141, 25.24160976409912, 16:5:53, 
