SystemTime, ADC, Temp, Hum, Pres, TimeStamp, Latitude, Longitude, FixQuality, Satellites, Altitude, Knots, TrackAngle, HDilution, HGeoID, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MPRPressure, MS5803Pressure, TempC, TempF, RTC, 
1653440338.2840757, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.80, -0.34, 10.01, 0.01, 0.01, 0.01, 858.2461967946243, 857.7883617959893, 25.259027366638183, 77.46624925994874, 0:58:56, 
1653440338.4006124, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.80, -0.34, 10.01, 0.01, 0.01, 0.01, 858.2691848463413, 857.7609339592955, 25.24160976409912, 77.43489757537841, 0:58:56, 
1653440338.5274057, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.80, -0.34, 10.01, 0.01, 0.01, 0.00, 858.2175580486303, 857.8157896326832, 25.276444969177245, 77.49760094451904, 0:58:56, 
1653440338.6559973, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.80, -0.34, 10.01, 0.01, 0.01, 0.01, 858.3417448978505, 857.7609339592955, 25.24160976409912, 77.43489757537841, 0:58:56, 
1653440338.7743046, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.80, -0.34, 10.01, 0.02, 0.02, 0.00, 858.2359228050301, 857.7883617959893, 25.259027366638183, 77.46624925994874, 0:58:56, 
1653440338.8917162, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.80, -0.34, 10.01, 0.02, 0.00, -0.01, 858.3359657787037, 857.6910631487867, 25.259027366638183, 77.46624925994874, 0:58:56, 
1653440339.0094595, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.80, -0.34, 10.01, 0.01, 0.01, 0.00, 858.3313424833864, 857.7883617959893, 25.259027366638183, 77.46624925994874, 0:58:57, 
1653440339.1232595, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.80, -0.34, 10.01, 0.02, 0.01, 0.01, 858.3132345767266, 857.7883617959893, 25.259027366638183, 77.46624925994874, 0:58:57, 
1653440339.2375662, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.84, -0.33, 10.01, 0.01, 0.01, -0.00, 858.347780866737, 857.7883617959893, 25.259027366638183, 77.46624925994874, 0:58:57, 
1653440339.3605297, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.84, -0.33, 10.01, 0.02, 0.02, -0.00, 858.2907602244892, 857.7609339592955, 25.24160976409912, 77.43489757537841, 0:58:57, 
1653440339.4985065, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.84, -0.33, 10.01, 0.02, 0.01, 0.00, 858.2740649913985, 857.7609339592955, 25.24160976409912, 77.43489757537841, 0:58:57, 
1653440339.6122482, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.84, -0.33, 10.01, 0.01, 0.01, -0.00, 858.3436712708993, 857.7883617959893, 25.259027366638183, 77.46624925994874, 0:58:57, 
1653440339.7264946, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.84, -0.33, 10.01, 0.02, 0.00, 0.00, 858.3308287839067, 857.7883617959893, 25.259027366638183, 77.46624925994874, 0:58:57, 
1653440339.8441465, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.84, -0.33, 10.01, 0.01, 0.01, 0.00, 858.3701267941045, 857.8157896326832, 25.276444969177245, 77.49760094451904, 0:58:57, 
1653440339.9615512, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.84, -0.33, 10.01, 0.01, 0.02, 0.00, 858.3169588979545, 857.6910631487867, 25.259027366638183, 77.46624925994874, 0:58:57, 
1653440340.0754483, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.84, -0.33, 10.01, 0.03, 0.01, 0.01, 858.3448270947288, 857.7609339592955, 25.24160976409912, 77.43489757537841, 0:58:58, 
1653440340.196096, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.82, -0.30, 10.03, 0.01, 0.01, -0.00, 858.3464966180378, 857.7883617959893, 25.259027366638183, 77.46624925994874, 0:58:58, 
1653440340.3414996, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.82, -0.30, 10.03, 0.02, 0.01, 0.00, 858.2720101934797, 857.7883617959893, 25.259027366638183, 77.46624925994874, 0:58:58, 
1653440340.4748652, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.82, -0.30, 10.03, 0.01, 0.01, 0.01, 858.3010342140834, 857.7883617959893, 25.259027366638183, 77.46624925994874, 0:58:58, 
1653440340.60129, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.82, -0.30, 10.03, 0.01, 0.00, 0.01, 858.3042448358316, 857.7883617959893, 25.259027366638183, 77.46624925994874, 0:58:58, 
1653440340.735026, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.82, -0.30, 10.03, 0.01, 0.00, -0.00, 858.36036650399, 857.7883617959893, 25.259027366638183, 77.46624925994874, 0:58:58, 
1653440340.8632858, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.82, -0.30, 10.03, 0.02, 0.00, 0.01, 858.202275489109, 857.6910631487867, 25.259027366638183, 77.46624925994874, 0:58:58, 
1653440340.9921658, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.82, -0.30, 10.03, 0.01, 0.01, 0.00, 858.2700838204308, 857.6910631487867, 25.259027366638183, 77.46624925994874, 0:58:59, 
1653440341.1062157, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.82, -0.30, 10.03, 0.02, 0.00, 0.00, 858.300006815124, 857.7883617959893, 25.259027366638183, 77.46624925994874, 0:58:59, 
1653440341.2202773, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.88, -0.41, 10.03, 0.01, 0.00, 0.01, 858.3010342140834, 857.7883617959893, 25.259027366638183, 77.46624925994874, 0:58:59, 
1653440341.3373332, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.88, -0.41, 10.03, 0.01, 0.01, 0.00, 858.2592961313569, 857.7609339592955, 25.24160976409912, 77.43489757537841, 0:58:59, 
1653440341.4557896, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.88, -0.41, 10.03, 0.02, 0.02, -0.00, 858.2858800794319, 857.7883617959893, 25.259027366638183, 77.46624925994874, 0:58:59, 
1653440341.5699542, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.88, -0.41, 10.03, 0.02, 0.01, 0.00, 858.3150325249055, 857.7883617959893, 25.259027366638183, 77.46624925994874, 0:58:59, 
1653440341.6893816, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.88, -0.41, 10.03, 0.02, 0.02, -0.00, 858.3340394056548, 857.6636387447245, 25.24160976409912, 77.43489757537841, 0:58:59, 
1653440341.8422248, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.88, -0.41, 10.03, 0.02, 0.01, 0.00, 858.2042018621579, 857.7883617959893, 25.259027366638183, 77.46624925994874, 0:58:59, 
1653440341.9883723, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.88, -0.41, 10.03, 0.01, 0.01, 0.00, 858.0932427745403, 857.6910631487867, 25.259027366638183, 77.46624925994874, 0:59:0, 
1653440342.1117797, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.88, -0.41, 10.03, 0.02, 0.02, -0.00, 858.3138767010762, 857.6910631487867, 25.259027366638183, 77.46624925994874, 0:59:0, 
1653440342.2257435, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.82, -0.29, 10.02, 0.01, 0.00, 0.01, 858.3327551569556, 857.7883617959893, 25.259027366638183, 77.46624925994874, 0:59:0, 
1653440342.34276, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.82, -0.29, 10.02, 0.01, 0.01, 0.00, 858.3525325869244, 857.7609339592955, 25.24160976409912, 77.43489757537841, 0:59:0, 
1653440342.4611669, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.82, -0.29, 10.02, 0.02, 0.01, 0.01, 858.348166141347, 857.7883617959893, 25.259027366638183, 77.46624925994874, 0:59:0, 
1653440342.5751357, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.82, -0.29, 10.02, 0.02, 0.01, 0.00, 858.2239792921267, 857.7883617959893, 25.259027366638183, 77.46624925994874, 0:59:0, 
1653440342.6891, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.82, -0.29, 10.02, 0.02, 0.01, 0.00, 858.2513337894214, 857.7883617959893, 25.259027366638183, 77.46624925994874, 0:59:0, 
1653440342.808383, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.82, -0.29, 10.02, 0.01, 0.01, 0.01, 858.2675153230323, 857.7883617959893, 25.259027366638183, 77.46624925994874, 0:59:0, 
1653440342.9383614, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.82, -0.29, 10.02, 0.02, 0.01, 0.01, 858.3475240169972, 857.7883617959893, 25.259027366638183, 77.46624925994874, 0:59:0, 
1653440343.0654726, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.82, -0.29, 10.02, 0.02, 0.01, 0.00, 858.2086967326054, 857.7883617959893, 25.259027366638183, 77.46624925994874, 0:59:1, 
1653440343.2050521, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.82, -0.33, 9.95, 0.02, 0.01, -0.00, 858.3413596232407, 857.9130917125171, 25.276444969177245, 77.49760094451904, 0:59:1, 
1653440343.338793, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.82, -0.33, 9.95, 0.01, 0.01, 0.00, 858.3002636648638, 857.6636387447245, 25.24160976409912, 77.43489757537841, 0:59:1, 
1653440343.4564564, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.82, -0.33, 9.95, 0.01, 0.01, 0.00, 858.2844674058628, 857.7609339592955, 25.24160976409912, 77.43489757537841, 0:59:1, 
