SystemTime, ADC, Temp, Hum, Pres, TimeStamp, Latitude, Longitude, FixQuality, Satellites, Altitude, Knots, TrackAngle, HDilution, HGeoID, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MPRPressure, MS5803Pressure, TempC, TempF, RTC, 
1651507693.9994748, 2, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.64, -0.07, 9.99, 0.01, 0.02, -0.00, 857.6604509628837, -, -, -, 16:8:14, 
1651507694.048954, 4, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.64, -0.07, 9.99, 0.02, 0.02, 0.00, 857.6161443827588, -, -, -, 16:8:14, 
1651507694.0977738, 6, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.64, -0.07, 9.99, 0.01, 0.01, 0.00, 857.77385012303, -, -, -, 16:8:14, 
1651507694.1475375, 6, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.64, -0.07, 9.99, 0.02, 0.01, 0.00, 857.7123346103346, -, -, -, 16:8:14, 
1651507694.1977544, 3, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.64, -0.07, 9.99, 0.02, 0.01, -0.00, 857.5636186109582, -, -, -, 16:8:14, 
1651507694.248861, 1, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.64, -0.07, 9.99, 0.02, 0.02, 0.00, 857.5406305592412, -, -, -, 16:8:14, 
1651507694.3003242, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.64, -0.07, 9.99, 0.01, 0.02, -0.00, 857.56040798921, -, -, -, 16:8:14, 
1651507694.3514466, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.64, -0.07, 9.99, 0.02, 0.01, 0.00, 857.5908446833829, -, -, -, 16:8:14, 
1651507694.4028232, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.64, -0.07, 9.99, 0.02, 0.01, -0.00, 857.5290723209476, -, -, -, 16:8:14, 
1651507694.4538856, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.64, -0.07, 9.99, 0.02, 0.01, 0.00, 857.4503478756819, -, -, -, 16:8:14, 
1651507694.513026, 13, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.64, -0.07, 9.99, 0.01, 0.01, 0.00, 857.4995346008643, -, -, -, 16:8:14, 
1651507694.5644608, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.64, -0.07, 9.99, 0.02, 0.02, 0.00, 857.5822402170978, -, -, -, 16:8:14, 
1651507694.615825, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.64, -0.07, 9.99, 0.01, 0.00, 0.00, 857.5430706317698, -, -, -, 16:8:14, 
1651507694.6671462, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.64, -0.07, 9.99, 0.01, 0.01, 0.01, 857.4850225905624, -, -, -, 16:8:14, 
1651507694.7182727, 0, 20.5712890625, 61.985506344540404, 668.3305695518856, -, -, -, -, -, -, -, -, -, -, 0.64, -0.07, 9.99, 0.01, 0.01, 0.00, 857.5846802896264, -, -, -, 16:8:14, 
