SystemTime, ADC 1 (Vibration), ADC 2, ADC 3, ADC 4, ADC 5, ADC 6, ADC 7, ADC 8, 
1657766773.4783974, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4810336, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4835615, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.486056, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4885821, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4911036, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4935994, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4960904, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.4985974, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.501081, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.508487, 0, 1, 1, 0, 0, 0, 0, 0, 
1657766773.5110853, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.513603, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5161161, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.518621, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.521129, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5236042, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5260987, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5285966, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5311112, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5387545, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5412993, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5436628, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5460198, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5484068, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.550729, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5530813, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5554206, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5577588, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5601, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5695243, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5719976, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5743613, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.576718, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5790958, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5814319, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5837574, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5861256, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5885222, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5908706, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.5979943, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.6004636, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.6028275, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.6051688, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.6075282, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.6098921, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.612263, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.614606, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.6169603, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.619307, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.6262543, 0, 1, 1, 0, 0, 0, 0, 0, 
1657766773.6287503, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.6311116, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.6334772, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.6358361, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.6381822, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.6405425, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.6429024, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.6452715, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.6476266, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.6547647, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.6572647, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.6596134, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.6619527, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.664316, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.6666842, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.669083, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.6714299, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.6737792, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.6761281, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.6834352, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.6858613, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.6882489, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.6906216, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.6929758, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.695322, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.6976593, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.7000031, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.7023394, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.7046838, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.711732, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.7141843, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.7165408, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.7189262, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.7212687, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.7236202, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.7259557, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.7283175, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.7306685, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.7330246, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.7433724, 0, 1, 1, 0, 0, 0, 0, 0, 
1657766773.7458303, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.7482004, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.7505407, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.7529006, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.7552688, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.757617, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.7599673, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.7623334, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.7646894, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.7726145, 0, 1, 0, 0, 0, 0, 0, 0, 
1657766773.775093, 0, 1, 0, 0, 0, 0, 0, 0, 
