SystemTime, ADC 1 (Vibration), ADC 2 (Battery), 
1658972082.6504142, 898, 348, 
1658972082.6537318, 828, 349, 
1658972082.6562672, 765, 351, 
1658972082.6587617, 706, 350, 
1658972082.6613805, 652, 349, 
1658972082.6640842, 601, 350, 
1658972082.6664858, 555, 350, 
1658972082.668888, 514, 350, 
1658972082.6712756, 475, 349, 
1658972082.6738603, 440, 350, 
1658972082.6851869, 408, 348, 
1658972082.6882994, 378, 349, 
1658972082.6908162, 350, 350, 
1658972082.693179, 323, 350, 
1658972082.6955273, 298, 350, 
1658972082.6978698, 276, 350, 
1658972082.700271, 255, 350, 
1658972082.7026093, 236, 350, 
1658972082.7049623, 219, 350, 
1658972082.7073164, 203, 349, 
1658972082.7212327, 190, 350, 
1658972082.7249544, 177, 350, 
1658972082.7274215, 163, 349, 
1658972082.7297752, 149, 350, 
1658972082.7321482, 139, 350, 
1658972082.734491, 129, 350, 
1658972082.7368279, 119, 350, 
1658972082.739181, 111, 350, 
1658972082.7415307, 103, 350, 
1658972082.7438784, 96, 350, 
1658972082.7535558, 90, 349, 
1658972082.756079, 84, 349, 
1658972082.7584333, 76, 349, 
1658972082.760816, 71, 350, 
1658972082.763175, 66, 350, 
1658972082.7655149, 60, 350, 
1658972082.7678607, 56, 350, 
1658972082.770341, 52, 350, 
1658972082.7729633, 49, 350, 
1658972082.7753572, 46, 350, 
1658972082.783085, 43, 349, 
1658972082.7855897, 39, 349, 
1658972082.7879596, 37, 350, 
1658972082.7903914, 35, 350, 
1658972082.7927387, 33, 350, 
1658972082.7950952, 30, 350, 
1658972082.7979527, 27, 350, 
1658972082.800355, 25, 350, 
1658972082.8026998, 24, 350, 
1658972082.805047, 23, 350, 
1658972082.8123162, 22, 349, 
1658972082.8148184, 19, 350, 
1658972082.8171515, 18, 349, 
1658972082.8196173, 17, 348, 
1658972082.8224285, 17, 350, 
1658972082.8247476, 16, 350, 
1658972082.8270593, 14, 350, 
1658972082.8293562, 13, 350, 
1658972082.8316598, 11, 350, 
1658972082.8340158, 11, 349, 
1658972082.8413076, 12, 349, 
1658972082.8442202, 11, 349, 
1658972082.8465803, 9, 347, 
1658972082.8489273, 9, 348, 
1658972082.853872, 9, 350, 
1658972082.8570368, 9, 350, 
1658972082.8597047, 8, 350, 
1658972082.8620265, 8, 350, 
1658972082.8643205, 6, 350, 
1658972082.8666177, 6, 350, 
1658972082.8736095, 7, 349, 
