SystemTime, ADC 1 (Vibration), ADC 2, ADC 3, ADC 4, ADC 5, ADC 6, ADC 7, ADC 8, 
1657908567.6622202, 439, 1, 
1657908567.6652226, 406, 1, 
1657908567.667421, 376, 1, 
1657908567.6695614, 347, 1, 
1657908567.6716995, 320, 1, 
1657908567.6739182, 296, 1, 
1657908567.67608, 274, 1, 
1657908567.67835, 254, 1, 
1657908567.6804886, 234, 1, 
1657908567.682617, 216, 1, 
1657908567.6955884, 201, 1, 
1657908567.6985836, 186, 1, 
1657908567.7007067, 172, 1, 
1657908567.702865, 159, 1, 
1657908567.7049618, 147, 1, 
1657908567.7070677, 136, 1, 
1657908567.7091954, 126, 1, 
1657908567.7113245, 116, 1, 
1657908567.7134435, 107, 1, 
1657908567.7155716, 100, 1, 
1657908567.7292254, 92, 1, 
1657908567.732555, 86, 1, 
1657908567.7349045, 80, 1, 
1657908567.7370396, 74, 1, 
1657908567.7391288, 69, 1, 
1657908567.7412415, 63, 1, 
1657908567.743348, 59, 1, 
1657908567.7454786, 54, 1, 
1657908567.7475755, 50, 1, 
1657908567.7496731, 46, 1, 
1657908567.7567575, 43, 1, 
1657908567.7596774, 40, 1, 
1657908567.761976, 37, 1, 
1657908567.7642684, 33, 1, 
1657908567.7665813, 32, 1, 
1657908567.7689812, 30, 1, 
1657908567.7712839, 26, 1, 
1657908567.7735856, 26, 1, 
1657908567.7759037, 24, 1, 
1657908567.778228, 22, 1, 
1657908567.7856784, 21, 1, 
1657908567.7882001, 19, 1, 
1657908567.790508, 18, 1, 
1657908567.7928262, 15, 1, 
1657908567.7951398, 15, 1, 
1657908567.797429, 14, 1, 
1657908567.7997844, 13, 1, 
1657908567.802099, 12, 1, 
1657908567.8043756, 10, 1, 
1657908567.8069446, 10, 1, 
1657908567.8161168, 10, 1, 
1657908567.8186698, 9, 1, 
1657908567.8209531, 8, 1, 
1657908567.8232734, 7, 1, 
1657908567.8255785, 7, 1, 
1657908567.8278964, 7, 1, 
1657908567.8307817, 6, 1, 
1657908567.8331914, 6, 1, 
1657908567.8355346, 5, 1, 
1657908567.8378713, 5, 1, 
1657908567.8448615, 4, 1, 
1657908567.8472953, 4, 1, 
1657908567.8496163, 4, 1, 
1657908567.852202, 4, 1, 
1657908567.8547769, 3, 1, 
1657908567.8571422, 3, 1, 
1657908567.859532, 3, 1, 
1657908567.8662958, 3, 1, 
1657908567.868926, 2, 1, 
1657908567.8712819, 0, 1, 
1657908567.878467, 4, 1, 
1657908567.880902, 2, 1, 
1657908567.8832026, 2, 1, 
1657908567.8855467, 1, 1, 
1657908567.8879268, 1, 1, 
1657908567.8909097, 2, 1, 
1657908567.893292, 2, 1, 
1657908567.8956478, 0, 1, 
1657908567.8980148, 0, 1, 
1657908567.9002938, 0, 1, 
1657908567.9076831, 2, 1, 
1657908567.9101148, 1, 1, 
1657908567.9124386, 1, 1, 
1657908567.9149866, 1, 1, 
1657908567.9173954, 0, 1, 
1657908567.9196937, 1, 1, 
1657908567.9220312, 0, 1, 
1657908567.9243188, 1, 1, 
1657908567.9266357, 0, 1, 
1657908567.9289434, 0, 1, 
1657908567.9413052, 1, 1, 
1657908567.943761, 1, 1, 
1657908567.9460523, 0, 1, 
1657908567.948386, 0, 1, 
1657908567.95073, 1, 1, 
1657908567.9530354, 0, 1, 
1657908567.9553416, 1, 1, 
1657908567.957647, 0, 1, 
1657908567.9599519, 0, 1, 
