SystemTime, ADC, 
1654807941.3650827, 2, 
1654807941.3792214, 1, 
1654807941.391325, 0, 
1654807941.4030118, 0, 
1654807941.414947, 1, 
1654807941.426449, 0, 
1654807941.437998, 0, 
1654807941.4494607, 2, 
1654807941.4608881, 2, 
1654807941.4728398, 0, 
1654807941.4840605, 1, 
1654807941.496202, 1, 
1654807941.508118, 0, 
1654807941.51989, 0, 
1654807941.5316293, 1, 
1654807941.543538, 1, 
1654807941.5552943, 0, 
1654807941.5672605, 1, 
1654807941.579285, 2, 
1654807941.5914226, 0, 
1654807941.6013727, 1, 
1654807941.6133757, 2, 
1654807941.625328, 1, 
1654807941.6372669, 0, 
1654807941.6503732, 0, 
1654807941.666482, 1, 
1654807941.6790419, 1, 
1654807941.6911657, 0, 
1654807941.7030935, 0, 
1654807941.7152, 1, 
1654807941.747292, 1, 
1654807941.7595093, 1, 
1654807941.771891, 0, 
1654807941.7838247, 0, 
1654807941.7964299, 1, 
1654807941.8088539, 0, 
1654807941.821639, 0, 
1654807941.835039, 1, 
1654807941.847494, 1, 
1654807941.8601296, 1, 
1654807941.8683863, 0, 
1654807941.8804743, 1, 
1654807941.8924267, 0, 
1654807941.904441, 1, 
1654807941.9169602, 1, 
1654807941.931212, 1, 
1654807941.943258, 1, 
1654807941.9553204, 0, 
1654807941.9674077, 2, 
1654807941.9834774, 1, 
1654807941.99098, 0, 
1654807942.0043402, 0, 
1654807942.017421, 1, 
1654807942.0297594, 1, 
1654807942.0421107, 1, 
1654807942.054597, 1, 
1654807942.0672777, 2, 
1654807942.0792837, 0, 
1654807942.0913002, 0, 
1654807942.1032634, 2, 
1654807942.1103501, 1, 
1654807942.1230943, 0, 
1654807942.1359806, 1, 
1654807942.1480136, 1, 
1654807942.1599743, 0, 
1654807942.1724188, 1, 
1654807942.1844285, 1, 
1654807942.1963658, 2, 
1654807942.2086215, 0, 
1654807942.220383, 1, 
1654807942.229483, 1, 
1654807942.2419624, 0, 
1654807942.2548, 0, 
1654807942.2664838, 2, 
1654807942.2790828, 1, 
1654807942.2912707, 1, 
1654807942.3029883, 1, 
1654807942.3146555, 0, 
1654807942.3273342, 2, 
1654807942.3396146, 0, 
1654807942.3468425, 1, 
1654807942.3590868, 1, 
1654807942.3707805, 1, 
1654807942.3824425, 1, 
1654807942.3945918, 1, 
1654807942.4099083, 0, 
1654807942.421729, 0, 
1654807942.4347334, 1, 
1654807942.4466615, 1, 
1654807942.4587898, 0, 
1654807942.469102, 1, 
1654807942.4809349, 2, 
1654807942.493249, 0, 
1654807942.5053566, 0, 
1654807942.521553, 1, 
1654807942.5337365, 2, 
1654807942.5462375, 1, 
1654807942.5583606, 1, 
1654807942.5707707, 0, 
1654807942.583243, 0, 
1654807942.591001, 1, 
1654807942.6028237, 0, 
1654807942.6156864, 1, 
1654807942.6277761, 3, 
1654807942.6394994, 0, 
1654807942.651756, 0, 
1654807942.664312, 2, 
1654807942.6761816, 0, 
1654807942.6883743, 0, 
1654807942.7005427, 1, 
1654807942.7117774, 0, 
1654807942.7238317, 0, 
1654807942.735729, 0, 
1654807942.7473907, 1, 
1654807942.7596765, 0, 
1654807942.7717066, 0, 
1654807942.783938, 1, 
1654807942.7959297, 1, 
1654807942.8081913, 0, 
1654807942.8207204, 0, 
1654807942.827978, 0, 
1654807942.8401067, 0, 
1654807942.8525538, 0, 
1654807942.864552, 2, 
1654807942.87714, 0, 
1654807942.889668, 0, 
1654807942.9016364, 1, 
1654807942.9139984, 1, 
1654807942.9260688, 0, 
1654807942.938045, 1, 
1654807942.9463954, 1, 
1654807942.958419, 0, 
1654807942.9704287, 0, 
1654807942.9836485, 0, 
1654807942.9960089, 2, 
1654807943.008086, 0, 
1654807943.0200694, 0, 
1654807943.0320678, 1, 
1654807943.0440066, 0, 
1654807943.0564373, 0, 
1654807943.063182, 1, 
1654807943.0758138, 0, 
1654807943.0881667, 0, 
1654807943.1009877, 0, 
1654807943.1129482, 1, 
1654807943.125448, 0, 
1654807943.1378312, 0, 
1654807943.1544194, 0, 
1654807943.166401, 0, 
1654807943.1791127, 0, 
1654807943.1876035, 2, 
1654807943.1996894, 2, 
1654807943.2128096, 1, 
1654807943.224791, 0, 
1654807943.2374213, 1, 
1654807943.2501004, 0, 
1654807943.2626297, 2, 
1654807943.2747157, 0, 
1654807943.2868607, 0, 
1654807943.2990966, 1, 
1654807943.3084695, 0, 
1654807943.3213494, 1, 
1654807943.3333855, 0, 
1654807943.3456547, 1, 
1654807943.3576002, 0, 
1654807943.3699203, 0, 
1654807943.381887, 1, 
1654807943.393743, 0, 
1654807943.4057114, 0, 
1654807943.4175284, 1, 
1654807943.4235463, 0, 
1654807943.4354248, 1, 
1654807943.4475088, 1, 
1654807943.4595695, 0, 
1654807943.471869, 0, 
1654807943.4844272, 1, 
1654807943.4965444, 1, 
1654807943.508652, 1, 
1654807943.5215306, 0, 
1654807943.5334578, 1, 
1654807943.5448494, 0, 
1654807943.5566154, 0, 
1654807943.5724566, 0, 
1654807943.5844731, 0, 
1654807943.5972476, 1, 
1654807943.6091268, 0, 
1654807943.6209648, 1, 
1654807943.6329632, 0, 
1654807943.6451962, 1, 
1654807943.6568642, 0, 
1654807943.668791, 0, 
1654807943.6812513, 1, 
1654807943.6929429, 0, 
1654807943.704508, 0, 
1654807943.7171466, 0, 
1654807943.7290368, 0, 
1654807943.7416205, 0, 
1654807943.7534852, 0, 
1654807943.76537, 0, 
1654807943.7778687, 0, 
1654807943.7888556, 0, 
1654807943.8010225, 0, 
1654807943.8131387, 1, 
1654807943.8266954, 0, 
1654807943.839743, 0, 
1654807943.8531978, 0, 
1654807943.8656323, 0, 
1654807943.8785014, 0, 
1654807943.8943553, 0, 
1654807943.905988, 0, 
1654807943.911885, 0, 
1654807943.9238205, 0, 
1654807943.9358585, 0, 
1654807943.9473956, 2, 
1654807943.9589832, 0, 
1654807943.9707232, 0, 
1654807943.982839, 1, 
1654807943.9965217, 2, 
1654807944.0087092, 0, 
1654807944.0211153, 0, 
1654807944.0295987, 0, 
1654807944.0437474, 0, 
1654807944.0577283, 0, 
1654807944.071142, 0, 
1654807944.0832155, 0, 
1654807944.0951724, 0, 
1654807944.106883, 0, 
1654807944.1192808, 0, 
1654807944.131601, 1, 
1654807944.14393, 0, 
1654807944.1523018, 0, 
1654807944.1646278, 0, 
1654807944.1777778, 0, 
1654807944.1898105, 0, 
1654807944.2024531, 1, 
1654807944.2141216, 1, 
1654807944.225812, 0, 
1654807944.238521, 0, 
1654807944.2505126, 1, 
1654807944.2629294, 1, 
1654807944.2712026, 0, 
1654807944.2831392, 0, 
1654807944.2957783, 0, 
1654807944.3085318, 0, 
1654807944.3205752, 0, 
1654807944.332291, 0, 
1654807944.3448133, 0, 
1654807944.3571546, 0, 
1654807944.3696058, 0, 
1654807944.3823872, 2, 
1654807944.3903117, 0, 
1654807944.4019585, 0, 
1654807944.4140937, 1, 
1654807944.426065, 0, 
1654807944.4377038, 0, 
1654807944.449312, 2, 
1654807944.4610548, 2, 
1654807944.4728317, 0, 
1654807944.485459, 0, 
1654807944.497852, 2, 
1654807944.5055022, 1, 
1654807944.5184095, 1, 
1654807944.5301259, 1, 
1654807944.542428, 0, 
1654807944.55415, 0, 
1654807944.566012, 2, 
1654807944.578177, 0, 
1654807944.5901704, 0, 
1654807944.6020396, 1, 
1654807944.614316, 1, 
1654807944.6222386, 1, 
1654807944.6344225, 1, 
1654807944.6461337, 2, 
1654807944.6579058, 1, 
1654807944.6696858, 1, 
1654807944.6815474, 2, 
1654807944.6933815, 1, 
1654807944.7052405, 0, 
1654807944.7172687, 1, 
1654807944.729628, 1, 
1654807944.7390091, 1, 
1654807944.7507582, 1, 
1654807944.7624953, 0, 
1654807944.7741966, 2, 
1654807944.7856965, 1, 
1654807944.7974036, 0, 
1654807944.8091178, 0, 
1654807944.8207467, 0, 
1654807944.8324814, 0, 
1654807944.8442168, 0, 
1654807944.8564138, 0, 
1654807944.8679495, 1, 
1654807944.8796625, 0, 
1654807944.8914897, 0, 
1654807944.9037435, 0, 
1654807944.916011, 1, 
1654807944.9291856, 0, 
1654807944.9410722, 0, 
1654807944.9559639, 0, 
1654807944.967993, 0, 
1654807944.9779472, 0, 
1654807944.9907768, 0, 
1654807945.003595, 0, 
1654807945.0155573, 0, 
1654807945.0285265, 0, 
1654807945.0402868, 0, 
1654807945.0531518, 0, 
1654807945.0651495, 0, 
1654807945.0772336, 0, 
1654807945.0889328, 0, 
1654807945.0971837, 0, 
1654807945.1093922, 0, 
1654807945.1215096, 0, 
1654807945.1330953, 0, 
1654807945.1451027, 0, 
1654807945.157489, 0, 
1654807945.1690679, 0, 
1654807945.1812172, 0, 
1654807945.193056, 0, 
