SystemTime, ADC 1 (Vibration), ADC 2, ADC 3, ADC 4, ADC 5, ADC 6, ADC 7, ADC 8, 
1657907644.9099677, 1, 1, 0, 0, 0, 0, 0, 0, 
1657907644.9123704, 1, 1, 0, 0, 0, 0, 0, 0, 
1657907644.9146874, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907644.9169734, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907644.9193099, 1, 1, 0, 0, 0, 0, 0, 0, 
1657907644.9216583, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907644.9240158, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907644.9268076, 0, 1, 1, 0, 0, 0, 0, 0, 
1657907644.9292426, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907644.9315534, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907644.9369714, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907644.9394667, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907644.941873, 1, 1, 0, 0, 0, 0, 0, 0, 
1657907644.9442992, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907644.9467738, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907644.9492211, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907644.9515648, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907644.9540067, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907644.956457, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907644.9590478, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907644.966127, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907644.9688573, 1, 1, 0, 0, 0, 0, 0, 0, 
1657907644.9712875, 0, 1, 4, 0, 0, 0, 0, 0, 
1657907644.9736342, 0, 1, 1, 0, 0, 0, 0, 0, 
1657907644.975994, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907644.9783657, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907644.9806786, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907644.9829879, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907644.9853268, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907644.9876494, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907644.9949713, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907644.9974794, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.0036283, 0, 1, 1, 0, 0, 0, 0, 0, 
1657907645.0070899, 1, 1, 0, 0, 0, 0, 0, 0, 
1657907645.0094948, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.0118108, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.0141246, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.0164611, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.0189018, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.0212255, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.0315542, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.0339956, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.0363264, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.0387726, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.0410824, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.0434322, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.0457401, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.0480769, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.0504115, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.0527303, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.0605812, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.0630512, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.0653856, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.0677812, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.0701191, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.072444, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.0747874, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.0773556, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.0799797, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.0823326, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.089653, 0, 1, 1, 0, 0, 0, 0, 0, 
1657907645.0920825, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.0944202, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.0967317, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.0990605, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.101369, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.1041617, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.1064913, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.1088986, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.1112769, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.1186192, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.1211343, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.1234903, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.1259968, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.1288188, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.1312234, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.1362877, 0, 1, 5, 0, 0, 0, 0, 0, 
1657907645.1395044, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.1421654, 0, 1, 4, 0, 0, 0, 0, 0, 
1657907645.1445045, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.1516623, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.1541038, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.1564543, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.1588223, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.1611617, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.163976, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.1663945, 0, 1, 4, 0, 0, 0, 0, 0, 
1657907645.1687946, 0, 1, 1, 0, 0, 0, 0, 0, 
1657907645.171153, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.1734934, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.183618, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.186229, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.18893, 0, 1, 4, 0, 0, 0, 0, 0, 
1657907645.1912382, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.1935356, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.19587, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.1982412, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.2005918, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.202928, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.205266, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.2265892, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.2292686, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.2317173, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.234218, 16, 1, 0, 0, 0, 0, 0, 0, 
1657907645.2370484, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.2395525, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.2420692, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.2448277, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.2473695, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.2499511, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.257757, 0, 1, 1, 0, 0, 0, 0, 0, 
1657907645.2604575, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.262982, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.2657657, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.2683132, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.2709064, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.2734733, 1, 1, 0, 0, 0, 0, 0, 0, 
1657907645.276128, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.2791662, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.2816176, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.289173, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.2917745, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.294274, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.2967591, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.299223, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.3022323, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.3049674, 0, 1, 3, 0, 0, 0, 0, 0, 
1657907645.310971, 0, 1, 2, 0, 0, 0, 0, 0, 
1657907645.314306, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.317086, 0, 1, 2, 0, 0, 0, 0, 0, 
1657907645.3242738, 0, 1, 1, 0, 0, 0, 0, 0, 
1657907645.3267076, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.3290708, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.331419, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.3337848, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.3361294, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.3386683, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.341524, 0, 1, 3, 0, 0, 0, 0, 0, 
1657907645.343845, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.3461535, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.3531356, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.3555737, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.3579617, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.3603027, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.3626275, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.3666973, 0, 1, 3, 0, 0, 0, 0, 0, 
1657907645.3692088, 0, 1, 1, 0, 0, 0, 0, 0, 
1657907645.3715808, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.3739693, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.376354, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.3836224, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.3860948, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.3895524, 0, 1, 1, 0, 0, 0, 0, 0, 
1657907645.3919067, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.3942444, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.3966475, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.3989878, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.4013562, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.403686, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.4061258, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.413502, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.4159505, 0, 1, 0, 0, 0, 0, 0, 0, 
1657907645.4184668, 0, 1, 0, 0, 0, 0, 0, 0, 
