SystemTime, ADC, 
1654883843.767665, 6, 
1654883843.7827437, 7, 
1654883843.7956173, 6, 
1654883843.8073459, 5, 
1654883843.8187854, 4, 
1654883843.830108, 4, 
1654883843.8417773, 1, 
1654883843.8538089, 2, 
1654883843.8656297, 3, 
1654883843.8772168, 2, 
1654883843.8879676, 1, 
1654883843.8993468, 3, 
1654883843.9111314, 1, 
1654883843.9291494, 2, 
1654883843.9408686, 1, 
1654883843.9552093, 0, 
1654883843.9691873, 0, 
1654883843.981274, 1, 
1654883843.9944768, 1, 
1654883844.008408, 1, 
1654883844.0199928, 1, 
1654883844.0325005, 1, 
1654883844.0458186, 1, 
1654883844.0575113, 0, 
1654883844.071785, 0, 
1654883844.085905, 0, 
1654883844.0978396, 1, 
1654883844.111102, 0, 
1654883844.125062, 0, 
1654883844.1372728, 0, 
1654883844.1515813, 1, 
1654883844.165603, 1, 
1654883844.1775398, 0, 
1654883844.1910422, 0, 
1654883844.20543, 0, 
1654883844.217797, 1, 
1654883844.2314732, 1, 
1654883844.2463336, 0, 
1654883844.2588499, 0, 
1654883844.271661, 0, 
1654883844.2807815, 1, 
1654883844.2927926, 0, 
1654883844.3044844, 0, 
1654883844.3192208, 1, 
1654883844.333398, 1, 
1654883844.3451161, 2, 
1654883844.3594666, 0, 
1654883844.3738859, 0, 
1654883844.3879037, 0, 
1654883844.4007888, 0, 
1654883844.41092, 0, 
1654883844.422867, 0, 
1654883844.4345853, 1, 
1654883844.4523149, 0, 
1654883844.4646237, 1, 
1654883844.4782596, 1, 
1654883844.4922853, 0, 
1654883844.5049574, 0, 
1654883844.517253, 1, 
1654883844.5294006, 1, 
1654883844.5387578, 0, 
1654883844.5505993, 1, 
1654883844.5674918, 1, 
1654883844.5792458, 1, 
1654883844.5910184, 0, 
1654883844.6079285, 0, 
1654883844.6201901, 0, 
1654883844.6346257, 0, 
1654883844.6490245, 1, 
1654883844.6607652, 0, 
1654883844.669231, 0, 
1654883844.685017, 0, 
1654883844.697244, 1, 
1654883844.7094686, 0, 
1654883844.72704, 0, 
1654883844.738903, 0, 
1654883844.7512078, 1, 
1654883844.7630985, 1, 
1654883844.7749634, 0, 
1654883844.7869773, 0, 
1654883844.7990983, 0, 
1654883844.8123696, 1, 
1654883844.8240952, 0, 
1654883844.8372886, 0, 
1654883844.8516216, 0, 
1654883844.8636165, 0, 
1654883844.877197, 0, 
1654883844.8934617, 0, 
1654883844.905265, 0, 
1654883844.9190443, 0, 
1654883844.9312758, 1, 
1654883844.9430988, 0, 
1654883844.9550247, 0, 
1654883844.9720714, 0, 
1654883844.9839032, 0, 
1654883844.995951, 0, 
1654883845.00778, 0, 
1654883845.019676, 0, 
1654883845.035566, 0, 
1654883845.0509548, 0, 
1654883845.0584824, 0, 
1654883845.0703146, 0, 
1654883845.087021, 0, 
1654883845.098912, 0, 
1654883845.110702, 0, 
1654883845.1226866, 0, 
1654883845.134572, 0, 
1654883845.1464653, 0, 
1654883845.1594007, 0, 
1654883845.172526, 0, 
1654883845.1799078, 0, 
1654883845.191812, 0, 
1654883845.2097569, 0, 
1654883845.221453, 1, 
1654883845.2332902, 0, 
1654883845.245068, 0, 
1654883845.2577899, 0, 
1654883845.2700477, 0, 
1654883845.282759, 0, 
1654883845.2958002, 0, 
1654883845.3024404, 0, 
1654883845.314367, 1, 
1654883845.3262417, 0, 
1654883845.3379884, 0, 
1654883845.3501115, 0, 
1654883845.363115, 0, 
1654883845.3761063, 0, 
1654883845.387976, 0, 
1654883845.400936, 0, 
1654883845.4152727, 0, 
1654883845.4227574, 0, 
1654883845.4345586, 0, 
1654883845.452263, 0, 
1654883845.465099, 0, 
1654883845.4774654, 0, 
1654883845.4899316, 0, 
1654883845.5023654, 0, 
1654883845.5167835, 0, 
1654883845.5308924, 0, 
1654883845.5430357, 0, 
1654883845.5567176, 0, 
1654883845.5706995, 0, 
1654883845.5825727, 0, 
1654883845.597951, 0, 
1654883845.612335, 0, 
1654883845.6246784, 0, 
1654883845.638831, 0, 
1654883845.6532838, 0, 
1654883845.6656554, 0, 
1654883845.6794713, 0, 
1654883845.6956024, 0, 
1654883845.7086504, 0, 
1654883845.7213678, 0, 
1654883845.7335424, 0, 
1654883845.7459574, 1, 
1654883845.7580357, 0, 
1654883845.7709832, 0, 
1654883845.7844715, 0, 
1654883845.7963119, 0, 
1654883845.8094265, 0, 
1654883845.8205526, 0, 
1654883845.8327625, 0, 
1654883845.8478816, 0, 
1654883845.8617296, 0, 
1654883845.8738356, 0, 
1654883845.888522, 0, 
1654883845.9024038, 1, 
1654883845.9144125, 1, 
1654883845.9288871, 1, 
1654883845.942532, 0, 
1654883845.951268, 1, 
1654883845.964376, 1, 
1654883845.9776583, 1, 
1654883845.9904277, 0, 
1654883846.0032716, 0, 
1654883846.0182397, 0, 
1654883846.031007, 1, 
1654883846.0439887, 0, 
1654883846.058603, 0, 
1654883846.071408, 0, 
1654883846.0823443, 1, 
1654883846.0968792, 1, 
1654883846.1094449, 0, 
1654883846.1236532, 0, 
1654883846.1372814, 0, 
1654883846.1501074, 1, 
1654883846.1632893, 1, 
1654883846.1771543, 1, 
