SystemTime, ADC 1 (Vibration), ADC 2 (Battery), 
1657911397.6418893, 460, 1, 
1657911397.6448665, 426, 1, 
1657911397.6471837, 394, 1, 
1657911397.6493738, 365, 1, 
1657911397.6515331, 334, 1, 
1657911397.6539059, 311, 1, 
1657911397.6561453, 287, 1, 
1657911397.6583683, 267, 1, 
1657911397.6605384, 245, 1, 
1657911397.6627014, 228, 1, 
1657911397.6719365, 212, 1, 
1657911397.674239, 195, 1, 
1657911397.6766481, 181, 1, 
1657911397.6787868, 167, 1, 
1657911397.6808944, 154, 1, 
1657911397.6829963, 143, 1, 
1657911397.6851015, 132, 1, 
1657911397.687198, 122, 1, 
1657911397.689322, 113, 1, 
1657911397.6914399, 105, 1, 
1657911397.6986287, 98, 1, 
1657911397.7010055, 91, 1, 
1657911397.703298, 82, 1, 
1657911397.7056072, 77, 1, 
1657911397.7111607, 73, 1, 
1657911397.7143824, 67, 1, 
1657911397.71665, 61, 1, 
1657911397.7187443, 57, 1, 
1657911397.7208292, 54, 1, 
1657911397.7229307, 49, 1, 
1657911397.7300882, 46, 1, 
1657911397.7323115, 40, 1, 
1657911397.7344139, 41, 1, 
1657911397.7368124, 38, 1, 
1657911397.7391882, 34, 1, 
1657911397.741387, 32, 1, 
1657911397.7434845, 29, 1, 
1657911397.7455592, 27, 1, 
1657911397.7476528, 23, 1, 
1657911397.7497368, 24, 1, 
1657911397.7582393, 22, 1, 
1657911397.7605283, 20, 1, 
1657911397.7629006, 19, 1, 
1657911397.7650769, 17, 1, 
1657911397.7671854, 17, 1, 
1657911397.7692888, 15, 1, 
1657911397.771383, 16, 1, 
1657911397.7734642, 14, 1, 
1657911397.7755606, 12, 1, 
1657911397.7776544, 9, 1, 
1657911397.7845397, 11, 1, 
1657911397.7869647, 11, 1, 
1657911397.7890759, 10, 1, 
1657911397.7911747, 9, 1, 
1657911397.7932882, 8, 1, 
1657911397.7957373, 7, 1, 
1657911397.7982388, 7, 1, 
1657911397.8006878, 9, 1, 
1657911397.8031168, 7, 1, 
1657911397.8055665, 6, 1, 
1657911397.813497, 5, 1, 
1657911397.8160822, 6, 1, 
1657911397.818662, 4, 1, 
1657911397.821111, 5, 1, 
1657911397.8235607, 5, 1, 
1657911397.8259783, 3, 1, 
1657911397.828485, 4, 1, 
1657911397.8309507, 4, 1, 
1657911397.8336215, 3, 1, 
1657911397.8365173, 4, 1, 
1657911397.8445187, 3, 1, 
1657911397.8488944, 3, 1, 
1657911397.851375, 4, 1, 
1657911397.8538241, 6, 1, 
1657911397.856291, 2, 1, 
1657911397.858814, 2, 1, 
1657911397.8612554, 2, 1, 
1657911397.863686, 1, 1, 
1657911397.866132, 2, 1, 
1657911397.8686256, 2, 1, 
1657911397.8768277, 3, 1, 
1657911397.8794072, 3, 1, 
1657911397.8818622, 2, 1, 
1657911397.8843086, 2, 1, 
1657911397.8867207, 4, 1, 
1657911397.8891854, 1, 1, 
1657911397.8916528, 1, 1, 
1657911397.8942747, 0, 1, 
1657911397.8968558, 1, 1, 
1657911397.8992696, 1, 1, 
1657911397.906362, 2, 1, 
1657911397.9088438, 0, 1, 
1657911397.9111662, 0, 1, 
1657911397.9134705, 0, 1, 
1657911397.9157865, 0, 1, 
1657911397.9182785, 0, 1, 
1657911397.9208763, 1, 1, 
1657911397.9232, 0, 1, 
1657911397.9254987, 1, 1, 
1657911397.927849, 0, 1, 
1657911397.9371061, 1, 1, 
1657911397.9395278, 0, 1, 
1657911397.9418335, 0, 1, 
1657911397.9447198, 1, 1, 
1657911397.9471304, 0, 1, 
1657911397.9495714, 0, 1, 
1657911397.9520667, 1, 1, 
1657911397.9545891, 0, 1, 
1657911397.9569864, 1, 1, 
1657911397.9593081, 0, 1, 
1657911397.9667134, 0, 1, 
1657911397.9692397, 1, 1, 
1657911397.9716294, 1, 1, 
1657911397.9739566, 0, 1, 
1657911397.9766464, 0, 1, 
1657911397.9789622, 0, 1, 
1657911397.9813175, 0, 1, 
1657911397.9836848, 0, 1, 
1657911397.9860873, 2, 1, 
1657911397.9890609, 0, 1, 
1657911397.9962676, 0, 1, 
1657911397.9987159, 0, 1, 
1657911398.001039, 0, 1, 
1657911398.003337, 0, 1, 
1657911398.0056493, 1, 1, 
1657911398.0080187, 0, 1, 
1657911398.0103247, 1, 1, 
1657911398.0128264, 1, 1, 
1657911398.0152013, 0, 1, 
1657911398.0175912, 0, 1, 
1657911398.0292113, 0, 1, 
1657911398.0316398, 0, 1, 
1657911398.0339391, 1, 1, 
1657911398.036222, 0, 1, 
1657911398.0385103, 0, 1, 
1657911398.0407932, 2, 1, 
1657911398.0430915, 1, 1, 
1657911398.045356, 0, 1, 
1657911398.0476475, 0, 1, 
1657911398.0505116, 0, 1, 
