SystemTime, ADC, 
1655308131.2320826, 3, 
1655308131.2442176, 2, 
1655308131.2554705, 2, 
1655308131.2667212, 3, 
1655308131.2780006, 0, 
1655308131.2892225, 1, 
1655308131.3008807, 2, 
1655308131.3121727, 2, 
1655308131.3241742, 1, 
1655308131.3373911, 1, 
1655308131.3467731, 1, 
1655308131.360867, 0, 
1655308131.3732285, 1, 
1655308131.3846667, 2, 
1655308131.3976295, 1, 
1655308131.4100468, 0, 
1655308131.4216232, 1, 
1655308131.4350107, 4, 
1655308131.4485407, 2, 
1655308131.4606018, 0, 
1655308131.471929, 0, 
1655308131.48435, 1, 
1655308131.4960275, 1, 
1655308131.508312, 0, 
1655308131.520033, 0, 
1655308131.5325286, 1, 
1655308131.5455658, 0, 
1655308131.5572734, 0, 
1655308131.569612, 1, 
1655308131.5824473, 1, 
1655308131.5905106, 0, 
1655308131.6053603, 0, 
1655308131.6188457, 1, 
1655308131.6305094, 1, 
1655308131.6428366, 0, 
1655308131.6561837, 0, 
1655308131.6680498, 0, 
1655308131.6798415, 0, 
1655308131.6915739, 0, 
1655308131.70335, 0, 
1655308131.7111313, 0, 
1655308131.7232969, 0, 
1655308131.7349102, 2, 
1655308131.7474394, 1, 
1655308131.7609248, 0, 
1655308131.7731931, 0, 
1655308131.7863312, 1, 
1655308131.7991664, 0, 
1655308131.8107808, 0, 
1655308131.8233285, 0, 
1655308131.8326244, 1, 
1655308131.8443837, 0, 
1655308131.8591409, 0, 
1655308131.872565, 0, 
1655308131.8847961, 0, 
1655308131.896707, 0, 
1655308131.908743, 0, 
1655308131.9208114, 0, 
1655308131.932874, 1, 
1655308131.944721, 0, 
1655308131.954837, 0, 
1655308131.9684434, 1, 
1655308131.9800475, 0, 
1655308131.9922903, 0, 
1655308132.0060172, 0, 
1655308132.017862, 0, 
1655308132.0306568, 0, 
1655308132.0435646, 0, 
1655308132.0552375, 0, 
1655308132.067728, 1, 
1655308132.0767462, 0, 
1655308132.0887063, 0, 
1655308132.100466, 1, 
1655308132.1121144, 0, 
1655308132.1239934, 0, 
1655308132.135723, 0, 
1655308132.1481507, 1, 
1655308132.1598396, 0, 
1655308132.171955, 2, 
1655308132.1848457, 0, 
1655308132.1927683, 0, 
1655308132.2074313, 0, 
1655308132.2209203, 1, 
1655308132.2325628, 1, 
1655308132.2452164, 0, 
1655308132.258737, 0, 
1655308132.2704325, 0, 
1655308132.2826946, 1, 
1655308132.2965128, 0, 
1655308132.308686, 0, 
1655308132.317177, 0, 
1655308132.3290071, 0, 
1655308132.3406434, 0, 
1655308132.3525395, 0, 
1655308132.3643982, 0, 
1655308132.378839, 0, 
1655308132.3923142, 0, 
1655308132.4040174, 0, 
1655308132.416287, 1, 
1655308132.430002, 0, 
1655308132.4377377, 0, 
1655308132.453092, 0, 
1655308132.4669266, 2, 
1655308132.4784842, 0, 
1655308132.491023, 0, 
1655308132.504812, 0, 
1655308132.516775, 0, 
1655308132.5286715, 0, 
1655308132.540787, 0, 
1655308132.552632, 0, 
1655308132.5606983, 0, 
1655308132.5728421, 0, 
1655308132.5850427, 0, 
1655308132.597227, 0, 
1655308132.6093583, 0, 
1655308132.621246, 0, 
1655308132.634225, 0, 
1655308132.646453, 0, 
1655308132.6583557, 0, 
1655308132.6713214, 0, 
1655308132.6874883, 0, 
1655308132.7000687, 1, 
1655308132.7121193, 0, 
1655308132.7242227, 0, 
1655308132.7360795, 0, 
1655308132.7479627, 1, 
1655308132.7598634, 0, 
1655308132.771683, 0, 
1655308132.7836092, 0, 
1655308132.7954388, 0, 
1655308132.8147566, 1, 
1655308132.826659, 0, 
1655308132.8385072, 0, 
1655308132.8504753, 1, 
1655308132.8623142, 0, 
1655308132.8742344, 0, 
1655308132.8862643, 0, 
1655308132.898225, 1, 
1655308132.9101155, 0, 
1655308132.924779, 0, 
1655308132.9362829, 0, 
1655308132.9485934, 1, 
1655308132.9604166, 0, 
1655308132.9722478, 0, 
1655308132.9841368, 1, 
1655308132.9960012, 1, 
1655308133.0081367, 0, 
1655308133.0200245, 0, 
1655308133.0331748, 0, 
1655308133.045866, 1, 
1655308133.0537205, 0, 
1655308133.0672092, 0, 
1655308133.0808299, 0, 
1655308133.0926988, 0, 
1655308133.105962, 0, 
1655308133.1191068, 0, 
1655308133.1310318, 0, 
1655308133.1433232, 0, 
1655308133.156936, 0, 
1655308133.1689029, 0, 
1655308133.177363, 0, 
1655308133.1897774, 0, 
1655308133.201608, 0, 
1655308133.2141304, 0, 
1655308133.225963, 0, 
1655308133.2383437, 0, 
1655308133.252185, 0, 
1655308133.2645967, 0, 
1655308133.278712, 0, 
1655308133.290969, 0, 
1655308133.3013184, 0, 
1655308133.3147757, 0, 
1655308133.3277717, 0, 
1655308133.3396, 0, 
1655308133.3518615, 1, 
1655308133.364806, 0, 
1655308133.3769703, 0, 
1655308133.3889444, 0, 
1655308133.400883, 0, 
1655308133.4127824, 0, 
1655308133.422147, 0, 
1655308133.4344199, 0, 
1655308133.446249, 0, 
1655308133.4590816, 0, 
1655308133.4713593, 0, 
1655308133.48341, 0, 
1655308133.5048337, 1, 
1655308133.5167782, 0, 
1655308133.5315082, 0, 
1655308133.545261, 0, 
1655308133.55561, 0, 
1655308133.5686855, 0, 
1655308133.5823188, 0, 
1655308133.5944848, 0, 
1655308133.6080184, 0, 
1655308133.6203701, 0, 
1655308133.6322646, 0, 
1655308133.644534, 0, 
1655308133.656456, 0, 
1655308133.6690953, 1, 
1655308133.6772792, 0, 
1655308133.6891825, 0, 
1655308133.7029996, 0, 
1655308133.716651, 0, 
1655308133.7286527, 0, 
1655308133.7421002, 0, 
1655308133.756067, 0, 
1655308133.7678964, 1, 
1655308133.7804613, 1, 
1655308133.7933605, 0, 
1655308133.799826, 1, 
1655308133.812335, 1, 
1655308133.8243673, 0, 
1655308133.8362699, 0, 
1655308133.84818, 0, 
1655308133.8606699, 0, 
1655308133.8724914, 0, 
1655308133.8848758, 1, 
1655308133.897935, 1, 
1655308133.9098477, 0, 
1655308133.9202726, 0, 
1655308133.9343872, 1, 
1655308133.9464555, 0, 
1655308133.9592762, 0, 
1655308133.972354, 0, 
1655308133.9842815, 0, 
1655308133.9965835, 0, 
1655308134.0096116, 0, 
1655308134.0216084, 0, 
1655308134.0336177, 0, 
1655308134.0417464, 1, 
1655308134.0541694, 0, 
1655308134.0664947, 0, 
1655308134.0783465, 0, 
1655308134.0910926, 0, 
1655308134.1048684, 0, 
1655308134.1168044, 0, 
1655308134.1299257, 1, 
1655308134.1431174, 0, 
1655308134.155086, 0, 
1655308134.1698117, 0, 
1655308134.1837134, 0, 
1655308134.195549, 1, 
1655308134.207842, 0, 
1655308134.221517, 0, 
1655308134.2338285, 0, 
1655308134.2456996, 0, 
1655308134.2576542, 0, 
1655308134.2697146, 1, 
1655308134.2824652, 1, 
1655308134.291226, 0, 
1655308134.3032005, 0, 
1655308134.3156495, 2, 
1655308134.327547, 1, 
1655308134.3394108, 0, 
1655308134.3522909, 1, 
1655308134.3645668, 1, 
1655308134.3765137, 0, 
1655308134.3895721, 0, 
1655308134.401761, 2, 
1655308134.414413, 0, 
1655308134.4270725, 1, 
1655308134.439106, 0, 
1655308134.4509642, 2, 
1655308134.4628925, 1, 
1655308134.4748218, 0, 
1655308134.4866934, 0, 
1655308134.4988077, 0, 
1655308134.5106761, 0, 
1655308134.5230324, 0, 
1655308134.531256, 1, 
1655308134.5432174, 1, 
1655308134.5572455, 0, 
1655308134.570856, 0, 
1655308134.5828528, 1, 
1655308134.5954373, 1, 
1655308134.6120014, 1, 
1655308134.6239867, 0, 
1655308134.6362548, 0, 
1655308134.6482105, 2, 
1655308134.6543698, 0, 
1655308134.6663058, 1, 
1655308134.6782742, 1, 
1655308134.690113, 0, 
1655308134.7019358, 0, 
1655308134.7139914, 1, 
1655308134.7261622, 0, 
1655308134.7423987, 0, 
1655308134.7543287, 0, 
1655308134.7662015, 1, 
1655308134.7747822, 0, 
1655308134.7879438, 0, 
1655308134.7997715, 1, 
1655308134.812333, 0, 
1655308134.8254666, 0, 
1655308134.8373964, 0, 
1655308134.8498487, 1, 
1655308134.8629882, 1, 
1655308134.8750496, 0, 
1655308134.8870387, 0, 
1655308134.8952081, 0, 
1655308134.9071085, 0, 
1655308134.9189167, 0, 
1655308134.9307604, 1, 
1655308134.9448667, 0, 
1655308134.9592967, 0, 
1655308134.9711916, 0, 
1655308134.9837146, 2, 
1655308134.996775, 0, 
1655308135.0086555, 0, 
1655308135.0196905, 0, 
1655308135.0335133, 0, 
1655308135.0453775, 0, 
1655308135.0577044, 0, 
1655308135.071673, 1, 
1655308135.0837438, 0, 
1655308135.095787, 1, 
1655308135.1078498, 0, 
1655308135.119804, 0, 
1655308135.1316738, 2, 
1655308135.1396163, 0, 
1655308135.1515744, 0, 
1655308135.1636071, 1, 
1655308135.1760736, 0, 
1655308135.1880376, 0, 
1655308135.200353, 0, 
1655308135.2122834, 1, 
1655308135.224256, 0, 
1655308135.2367601, 0, 
1655308135.2489088, 1, 
1655308135.2572107, 0, 
1655308135.2710137, 0, 
1655308135.2852073, 0, 
1655308135.300734, 1, 
1655308135.3127408, 0, 
1655308135.3248093, 0, 
1655308135.3366792, 1, 
1655308135.348642, 0, 
1655308135.3605254, 0, 
1655308135.373257, 0, 
1655308135.3817523, 0, 
1655308135.393728, 0, 
1655308135.4075038, 0, 
1655308135.4212992, 0, 
1655308135.4332275, 1, 
1655308135.44619, 2, 
1655308135.459495, 0, 
1655308135.4713917, 0, 
1655308135.4837985, 1, 
1655308135.4967015, 0, 
1655308135.5061798, 0, 
1655308135.5182734, 0, 
1655308135.5302908, 1, 
1655308135.5421507, 0, 
1655308135.554624, 1, 
1655308135.566536, 1, 
1655308135.5789936, 1, 
1655308135.5911877, 0, 
1655308135.6032755, 0, 
1655308135.6170862, 0, 
1655308135.625693, 0, 
1655308135.6387496, 0, 
1655308135.6503952, 1, 
1655308135.662887, 1, 
1655308135.6758132, 0, 
1655308135.6875103, 0, 
1655308135.6999414, 0, 
1655308135.7128358, 0, 
1655308135.729737, 0, 
1655308135.7414732, 0, 
1655308135.7490005, 1, 
1655308135.7608614, 1, 
1655308135.7727566, 0, 
1655308135.7844105, 0, 
1655308135.796386, 1, 
1655308135.8097222, 0, 
1655308135.8214355, 0, 
1655308135.8334823, 3, 
1655308135.84662, 0, 
1655308135.8582606, 0, 
1655308135.86932, 0, 
1655308135.8828661, 0, 
1655308135.8944845, 0, 
1655308135.906749, 0, 
1655308135.9203024, 0, 
1655308135.9319668, 9, 
1655308135.9437737, 1, 
1655308135.9556675, 0, 
1655308135.9673145, 0, 
1655308135.9789007, 0, 
1655308135.9864886, 0, 
1655308135.9982395, 0, 
1655308136.0112545, 0, 
1655308136.024356, 0, 
1655308136.0363584, 0, 
1655308136.0493217, 3, 
1655308136.0623412, 0, 
1655308136.074066, 0, 
1655308136.0864468, 0, 
1655308136.0992937, 0, 
1655308136.1094007, 0, 
1655308136.122293, 0, 
1655308136.1348994, 0, 
1655308136.146647, 2, 
1655308136.1585295, 0, 
1655308136.1709685, 0, 
1655308136.1827006, 0, 
1655308136.194785, 0, 
1655308136.2064366, 0, 
1655308136.2188063, 0, 
1655308136.2287219, 1, 
1655308136.2404547, 0, 
1655308136.252081, 0, 
1655308136.2683787, 0, 
1655308136.2800026, 0, 
1655308136.2950044, 0, 
1655308136.3084972, 0, 
1655308136.3202343, 0, 
1655308136.332494, 1, 
1655308136.3461845, 1, 
1655308136.3522837, 0, 
1655308136.3644636, 1, 
1655308136.3766546, 0, 
1655308136.389132, 0, 
1655308136.401031, 0, 
1655308136.4132962, 1, 
1655308136.4249303, 0, 
1655308136.4378793, 0, 
1655308136.4507966, 0, 
1655308136.4625237, 0, 
1655308136.4738214, 0, 
1655308136.48735, 0, 
1655308136.499537, 1, 
1655308136.5117505, 1, 
