SystemTime, ADC, 
1654806619.6397035, 2, 
1654806619.6554332, 2, 
1654806619.66708, 2, 
1654806619.6798384, 3, 
1654806619.6917043, 0, 
1654806619.7032993, 2, 
1654806619.7147825, 1, 
1654806619.726697, 0, 
1654806619.7383647, 2, 
1654806619.7500708, 5, 
1654806619.7680275, 2, 
1654806619.779814, 0, 
1654806619.791376, 0, 
1654806619.8035064, 1, 
1654806619.8198335, 0, 
1654806619.8321435, 2, 
1654806619.8452559, 0, 
1654806619.8570971, 0, 
1654806619.8695893, 2, 
1654806619.8815703, 1, 
1654806619.889973, 0, 
1654806619.902527, 1, 
1654806619.9150388, 1, 
1654806619.927395, 1, 
1654806619.9392762, 0, 
1654806619.951268, 1, 
1654806619.963695, 0, 
1654806619.9754412, 0, 
1654806619.9877157, 2, 
1654806620.000291, 2, 
1654806620.0116105, 0, 
1654806620.0235045, 0, 
1654806620.0352285, 1, 
1654806620.0478146, 0, 
1654806620.0603383, 1, 
1654806620.072746, 2, 
1654806620.084444, 0, 
1654806620.0962224, 1, 
1654806620.1086323, 0, 
1654806620.1213841, 0, 
1654806620.1310756, 2, 
1654806620.1428213, 1, 
1654806620.155378, 1, 
1654806620.167368, 1, 
1654806620.1791222, 0, 
1654806620.1922708, 0, 
1654806620.2039945, 1, 
1654806620.2158039, 1, 
1654806620.2274992, 0, 
1654806620.2396846, 1, 
1654806620.2472548, 0, 
1654806620.259321, 1, 
1654806620.2715433, 1, 
1654806620.2837665, 1, 
1654806620.29622, 1, 
1654806620.3084264, 0, 
1654806620.3204284, 0, 
1654806620.3323789, 1, 
1654806620.3443313, 1, 
1654806620.3568666, 0, 
1654806620.3651369, 1, 
1654806620.3768337, 0, 
1654806620.388891, 0, 
1654806620.4006531, 1, 
1654806620.4130208, 1, 
1654806620.4260056, 0, 
1654806620.437898, 1, 
1654806620.4499443, 0, 
1654806620.461649, 0, 
1654806620.4741514, 0, 
1654806620.4825075, 0, 
1654806620.4944632, 0, 
1654806620.5063014, 0, 
1654806620.5180006, 0, 
1654806620.5297344, 0, 
1654806620.5415041, 1, 
1654806620.5533922, 0, 
1654806620.5653622, 2, 
1654806620.5777566, 1, 
1654806620.5914438, 0, 
1654806620.6035213, 0, 
1654806620.6154606, 1, 
1654806620.6275585, 2, 
1654806620.6400144, 0, 
1654806620.6519763, 1, 
1654806620.6640828, 1, 
1654806620.6761997, 1, 
1654806620.688516, 0, 
1654806620.7004008, 1, 
1654806620.7128048, 0, 
1654806620.7226973, 1, 
1654806620.7349327, 0, 
1654806620.7473454, 1, 
